"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","Filename","Appendage","Variable"
-12.37052,-11.99453,-11.67054,-11.39493,-11.16031,-10.95526,-10.76414,-10.56995,-10.35555,-10.11435,-9.848525,-9.560676,-9.253608,-8.929991,-8.592955,-8.246462,-7.901773,-7.584702,-7.32122,-7.135246,-7.046271,-7.070864,-7.226047,-7.523005,-7.927367,-8.38508,-8.844963,-9.266636,-9.636001,-9.941914,-10.17158,-10.32066,-10.39873,-10.41731,-10.38882,-10.33456,-10.28117,-10.25487,-10.2758,-10.33913,-10.43465,-10.55402,-10.6931,-10.85288,-11.0344,-11.2379,-11.45647,-11.67667,-11.88415,-12.06628,-12.22555,-12.37058,-12.51013,-12.64534,-12.75742,-12.8241,-12.82324,-12.75151,-12.6281,-12.47416,-12.31363,-12.18812,-12.14773,-12.24194,-12.50045,-12.8827,-13.3316,-13.78862,-14.19675,-14.5045,-14.66391,-14.63507,-14.44066,-14.14487,-13.81028,-13.48815,-13.18257,-12.88477,-12.5879,-12.29958,-12.05535,-11.89446,-11.85334,-11.9179,-12.02657,-12.11671,-12.1367,-12.10292,-12.05939,-12.049,-12.1138,-12.2947,-12.63316,-13.1672,-13.85454,-14.55514,-15.12718,-15.43612,-15.36731,-14.80664,-13.61504,"nal res","e/sal","AbductAdductAngle"
-10.04718,-7.684791,-6.624852,-6.432517,-6.647961,-6.851925,-6.909397,-6.803515,-6.506956,-6.002476,-5.412858,-4.926108,-4.585595,-4.327867,-4.083781,-3.783763,-3.436953,-3.1439,-2.918721,-2.638652,-2.232515,-1.756851,-1.284073,-0.8518606,-0.4965774,-0.327201,-0.4406093,-0.8067153,-1.326633,-1.773235,-1.953098,-1.939109,-1.872175,-1.664878,-1.150648,-0.4645899,0.1202125,0.5254129,0.7969405,1.027542,1.355308,1.725486,1.856111,1.667735,1.397263,1.210841,1.087627,0.9942678,0.9192359,0.8601653,0.8339926,0.849671,0.8691685,0.8513039,0.795054,0.7088713,0.579193,0.3897944,0.1743853,-0.02020675,-0.2707843,-0.7196056,-1.351027,-2.041507,-2.723742,-3.363871,-3.925519,-4.381679,-4.748393,-5.109804,-5.463966,-5.63349,-5.533195,-5.323838,-5.165643,-5.140137,-5.260311,-5.309782,-5.089893,-4.795875,-4.714006,-4.874161,-5.189651,-5.456694,-5.417696,-4.996561,-4.254206,-3.479661,-3.13129,-3.307134,-3.730305,-4.066093,-3.946243,-3.257888,-2.279958,-1.273125,-0.4148267,0.2958138,1.359048,3.36053,6.778114,"nal res","e/sal","AbductAdductAngle"
-14.05268,-14.78006,-15.41993,-15.96367,-16.41011,-16.78087,-17.11355,-17.44921,-17.76536,-17.9776,-17.99638,-17.81976,-17.5893,-17.45849,-17.50933,-17.61092,-17.59307,-17.32014,-16.84804,-16.29383,-15.75901,-15.29764,-14.94339,-14.74053,-14.68073,-14.67165,-14.60028,-14.39972,-14.14005,-13.91871,-13.80887,-13.76593,-13.71232,-13.57319,-13.31337,-12.91752,-12.36921,-11.66099,-10.79794,-9.792422,-8.726873,-7.796057,-7.201562,-7.066943,-7.272483,-7.647556,-8.034243,-8.368289,-8.625805,-8.785786,-8.829881,-8.739005,-8.492965,-8.116599,-7.697596,-7.329769,-7.109116,-7.135697,-7.518105,-8.334597,-9.448639,-10.64173,-11.68766,-12.54019,-13.26631,-13.93827,-14.61974,-15.36365,-16.21926,-17.09967,-17.67675,-17.62054,-16.75753,-15.40168,-13.9891,-12.94743,-12.43056,-12.46168,-13.03204,-13.9668,-14.98006,-15.81671,-16.35628,-16.63415,-16.70039,-16.62271,-16.5266,-16.54666,-16.77599,-17.0592,-17.1483,-16.83772,-16.18376,-15.3658,-14.5133,-13.75336,-13.2363,-13.0972,-13.45334,-14.3895,-15.92245,"nal res","e/sal","AbductAdductAngle"
-19.55995,-17.50561,-15.94698,-14.80722,-14.02468,-13.54926,-13.34093,-13.36879,-13.60403,-14.01636,-14.57112,-15.21484,-15.87912,-16.49945,-17.01678,-17.38436,-17.63239,-17.8313,-18.04944,-18.35364,-18.78892,-19.30294,-19.81626,-20.24894,-20.51775,-20.56237,-20.38604,-20.00378,-19.43916,-18.72951,-17.93969,-17.15497,-16.45726,-15.92177,-15.61068,-15.50368,-15.53075,-15.62283,-15.71176,-15.73929,-15.6986,-15.59878,-15.44795,-15.25364,-15.02912,-14.80369,-14.60897,-14.47626,-14.43578,-14.48304,-14.56628,-14.63038,-14.62108,-14.4886,-14.21727,-13.81544,-13.29128,-12.65069,-11.90706,-11.13899,-10.45337,-9.961296,-9.776743,-9.970643,-10.48215,-11.22243,-12.10071,-13.0267,-13.92603,-14.7513,-15.46513,-16.03727,-16.44366,-16.68601,-16.7831,-16.751,-16.60399,-16.35782,-16.0424,-15.69307,-15.34443,-15.03075,-14.78349,-14.62411,-14.57489,-14.66157,-14.91215,-15.33356,-15.89163,-16.54361,-17.24266,-17.93937,-18.59287,-19.17125,-19.64309,-19.97826,-20.14872,-20.12752,-19.89128,-19.4224,-18.70986,"nal res","e/sal","AbductAdductAngle"
-22.26749,-20.80951,-19.92579,-19.5168,-19.48636,-19.73588,-20.14949,-20.60587,-20.9827,-21.18026,-21.19039,-21.0313,-20.72499,-20.30591,-19.84486,-19.41326,-19.07464,-18.87714,-18.82313,-18.90904,-19.13531,-19.49529,-19.94652,-20.43093,-20.88171,-21.2345,-21.46642,-21.56904,-21.53562,-21.36588,-21.09321,-20.76963,-20.4616,-20.23581,-20.10322,-20.04981,-20.04729,-20.06579,-20.14129,-20.34679,-20.77708,-21.49836,-22.40154,-23.32575,-24.10973,-24.63038,-24.90411,-24.98511,-24.92643,-24.77336,-24.5538,-24.28882,-23.99903,-23.69923,-23.37584,-23.00338,-22.54923,-21.9868,-21.3533,-20.72191,-20.18984,-19.85406,-19.73863,-19.83763,-20.13593,-20.60235,-21.16736,-21.7545,-22.29047,-22.71645,-23.02543,-23.22708,-23.33723,-23.38091,-23.39795,-23.43101,-23.52235,-23.69435,-23.88545,-24.00554,-23.9582,-23.6786,-23.23209,-22.71736,-22.22861,-21.84548,-21.61684,-21.58651,-21.79927,-22.26447,-22.85622,-23.41877,-23.80387,-23.92661,-23.92245,-23.97164,-24.24472,-24.89606,-26.03599,-27.76099,-30.14999,"nal res","e/sal","AbductAdductAngle"
-18.25434,-20.40725,-21.52798,-21.75412,-21.33125,-20.56742,-19.75892,-19.14755,-18.82742,-18.7191,-18.74213,-18.82049,-18.87535,-18.82147,-18.58321,-18.22592,-17.90348,-17.76154,-17.84594,-18.0608,-18.30151,-18.47743,-18.55287,-18.50468,-18.31229,-18.07997,-18.01043,-18.33254,-19.10521,-20.07926,-20.95611,-21.47145,-21.62793,-21.55001,-21.42329,-21.37446,-21.4465,-21.66036,-21.98277,-22.30106,-22.4925,-22.46774,-22.30819,-22.15344,-22.14844,-22.28464,-22.44207,-22.49491,-22.38568,-22.16501,-21.88748,-21.59834,-21.34082,-21.16675,-21.13221,-21.22652,-21.41113,-21.66787,-21.95803,-22.18132,-22.20925,-21.95156,-21.5481,-21.20828,-21.1335,-21.34481,-21.74731,-22.25019,-22.7787,-23.27684,-23.6936,-24.00181,-24.26306,-24.55903,-24.96068,-25.38156,-25.6134,-25.42526,-24.80032,-24.08307,-23.65904,-23.80288,-24.33624,-24.93677,-25.2651,-25.16843,-24.6599,-23.79556,-22.7099,-21.62056,-20.71707,-20.14224,-19.9393,-20.13271,-20.72954,-21.66401,-22.84144,-24.19043,-25.66934,-27.24906,-28.8893,"nal res","e/sal","AbductAdductAngle"
-11.37652,-12.33048,-13.77161,-15.28185,-16.26567,-16.32719,-15.87904,-15.43656,-15.17222,-15.12683,-15.18694,-15.26772,-15.52246,-16.13088,-17.15717,-18.50906,-19.45931,-19.3413,-18.66598,-18.09135,-17.55042,-16.89126,-16.31557,-16.00629,-15.817,-15.53413,-15.10723,-14.6673,-14.63499,-15.28348,-16.10514,-16.59218,-16.77272,-16.80643,-16.94577,-17.39127,-18.036,-18.71426,-19.2984,-19.62786,-19.46647,-18.70823,-17.72632,-16.93731,-16.48101,-16.3815,-16.52549,-16.69493,-16.45403,-15.63348,-15.05559,-15.3735,-15.9078,-15.86797,-15.43081,-14.95029,-14.52102,-14.18885,-14.00156,-13.96983,-14.00738,-14.04432,-14.12956,-14.29025,-14.36052,-14.22332,-14.1018,-14.21906,-14.46785,-14.65381,-14.6701,-14.57491,-14.82637,-15.75763,-16.9073,-17.70888,-17.88129,-17.37777,-16.55146,-15.82834,-15.6703,-16.37673,-17.45601,-18.22803,-18.44481,-18.09277,-17.5272,-17.11547,-16.85669,-16.71307,-16.93516,-17.74734,-18.65097,-18.95974,-18.83677,-18.68215,-18.52255,-18.19132,-17.39942,-15.98555,-13.90665,"nal res","e/sal","AbductAdductAngle"
-23.15043,-22.17883,-21.81253,-21.91427,-22.36537,-23.06876,-23.84667,-24.25716,-23.81699,-22.74087,-21.67521,-21.06035,-21.02652,-21.65106,-22.50151,-22.87225,-22.48259,-21.6786,-20.82035,-20.25141,-20.2697,-20.78679,-21.3386,-21.54754,-21.39427,-20.94192,-19.99381,-18.14434,-15.44069,-12.96038,-11.69379,-11.45819,-11.51565,-11.34413,-10.76683,-9.723127,-8.588227,-7.855862,-7.654105,-7.704001,-7.764234,-7.806682,-7.855108,-7.83419,-7.575105,-6.981326,-6.184867,-5.365879,-4.768765,-4.670172,-5.147431,-5.891682,-6.598868,-7.17969,-7.614794,-7.819975,-7.658666,-7.067501,-6.213187,-5.287249,-4.493592,-4.120608,-4.423896,-5.269193,-6.342138,-7.336766,-8.028102,-8.315563,-8.399077,-8.520802,-8.629005,-8.502283,-8.087691,-7.667288,-7.541442,-7.720194,-8.082138,-8.435439,-8.488124,-8.024294,-7.242641,-6.460699,-5.983063,-6.115536,-7.091923,-8.87601,-11.35725,-14.02642,-16.05193,-17.0266,-17.60961,-18.5529,-19.81314,-20.90277,-21.48186,-21.52235,-21.08227,-20.4137,-19.81423,-19.54074,-19.80532,"nal res","e/sal","AbductAdductAngle"
-25.02404,-24.27018,-23.58241,-22.96925,-22.43441,-21.98572,-21.64672,-21.44212,-21.39605,-21.48621,-21.61177,-21.66171,-21.52194,-21.18651,-20.78518,-20.4724,-20.40298,-20.54392,-20.71935,-20.75544,-20.51217,-20.05573,-19.54184,-19.11712,-18.90045,-18.89952,-19.08895,-19.44301,-19.92296,-20.45584,-20.96722,-21.39133,-21.6609,-21.68976,-21.38687,-20.65879,-19.53415,-18.21213,-16.90311,-15.81233,-14.99387,-14.36775,-13.85546,-13.38875,-12.97074,-12.64346,-12.44533,-12.40602,-12.52128,-12.774,-13.147,-13.60574,-14.04592,-14.34927,-14.40167,-14.1267,-13.53842,-12.66488,-11.53625,-10.23204,-8.904521,-7.701451,-6.757657,-6.115112,-5.724031,-5.535251,-5.500288,-5.605204,-5.86644,-6.307824,-6.951777,-7.730528,-8.528632,-9.22637,-9.711931,-9.93993,-9.882354,-9.512093,-8.856204,-8.088852,-7.400686,-6.968246,-6.904059,-7.204299,-7.861023,-8.865569,-10.16901,-11.66493,-13.22264,-14.69514,-15.97212,-17.00081,-17.75381,-18.22659,-18.49653,-18.68314,-18.90624,-19.28686,-19.9309,-20.93248,-22.36387,"nal res","e/sal","AbductAdductAngle"
-17.38857,-17.5202,-17.24954,-16.62076,-15.70498,-14.59335,-13.38365,-12.16454,-11.00264,-9.954954,-9.088598,-8.48509,-8.208131,-8.157564,-8.173221,-8.101534,-7.874146,-7.583129,-7.325463,-7.179941,-7.175104,-7.297413,-7.533967,-7.859228,-8.165312,-8.307912,-8.143732,-7.590048,-6.766207,-5.837534,-4.972018,-4.273466,-3.756576,-3.432834,-3.311578,-3.357308,-3.505253,-3.692131,-3.870757,-4.056763,-4.281576,-4.572699,-4.934271,-5.337322,-5.753683,-6.161722,-6.535631,-6.844577,-7.059961,-7.155979,-7.120941,-6.943966,-6.611178,-6.138699,-5.621903,-5.173109,-4.902157,-4.869619,-5.082971,-5.553104,-6.295222,-7.254364,-8.322229,-9.363542,-10.25371,-11.01124,-11.70197,-12.40555,-13.18573,-14.06077,-15.03301,-16.08452,-17.14859,-18.13185,-18.94656,-19.52708,-19.87078,-20.00047,-19.94364,-19.74137,-19.45902,-19.15891,-18.89406,-18.6604,-18.40533,-18.07758,-17.63969,-17.13521,-16.64438,-16.25018,-16.00361,-15.86477,-15.77966,-15.69927,-15.58153,-15.3888,-15.08446,-14.63975,-14.04175,-13.30055,-12.45147,"nal res","e/sal","AbductAdductAngle"
