"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","Filename","Appendage","Variable"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.16637,12.52937,11.88541,11.24748,10.62465,10.01591,9.420754,8.84119,8.276114,7.723402,7.182381,6.649042,6.116983,5.578028,5.022647,4.44377,3.846182,3.239966,2.636877,2.051027,1.499955,1.042459,0.6145595,0.2642559,-0.008456128,-0.2029155,-0.3206226,-0.3636967,-0.3336205,-0.2341543,-0.07216062,0.1341375,0.3612821,0.5865598,0.792309,0.9680487,1.105084,1.19882,1.248316,1.256111,1.22885,1.17333,1.089895,0.9772473,0.8336159,0.659814,0.4710701,0.2844235,0.1143192,-0.02982934,-0.1481868,-0.2441538,-0.3202325,-0.3806767,-0.4326774,-0.482237,-0.5341282,-0.5758775,-0.6332758,-0.6906991,-0.7508789,-0.8208585,-0.7426219,-0.4000513,-0.07891547,0.2025661,0.4308905,0.5981941,0.7120988,0.7860266,0.8309466,0.8529168,0.8526426,0.8297666,0.7835831,0.7124942,0.6172855,0.5039501,0.3816975,0.2603031,0.1470283,0.04642431,"nal res","e/sal","StressDVTotal"
1.034483,1.16411,2.656591,4.191501,5.677545,7.015889,8.193324,9.2608,10.20589,11.02068,11.66492,12.06729,12.22563,12.17871,11.96068,11.58549,11.05749,10.35413,9.509541,8.655483,7.878825,7.155974,6.436781,5.656624,4.759812,3.769428,2.748433,1.819902,1.079236,0.4495034,-0.1527768,-0.6700201,-1.004135,-1.147117,-1.142987,-1.055245,-0.9739664,-0.9242485,-0.8713822,-0.7944291,-0.6905654,-0.5902516,-0.5689081,-0.6640327,-0.8323211,-1.039586,-1.272129,-1.516145,-1.771981,-2.026953,-2.239418,-2.375583,-2.451386,-2.49358,-2.508964,-2.498193,-2.473963,-2.456623,-2.470281,-2.539972,-2.626485,-2.65275,-2.620052,-2.592473,-2.570299,-2.494186,-2.329949,-2.210764,-2.112057,-2.009068,-1.894343,-1.790921,-1.718908,-1.693498,-1.715426,-1.736862,-1.780131,-1.823652,-1.880126,-1.933614,-1.960578,-1.94669,-1.892005,-1.812557,-1.69345,-1.620318,-1.560888,-1.520898,-1.543261,-1.538063,-1.175115,-1.00113,-0.9778261,-1.178485,-1.540974,-1.987871,-2.072526,-2.02156,-1.928077,-1.794542,-1.634793,"nal res","e/sal","StressDVTotal"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.39842,10.00396,8.528807,7.037058,5.589677,4.248349,3.075636,2.089193,1.215469,0.3693252,-0.5203598,-1.464083,-2.462154,-3.516145,-4.591457,-5.626839,-6.549929,-7.320216,-7.942066,-8.429751,-8.782898,-8.906741,-8.906355,-8.717644,-8.367323,-7.877503,-7.269563,-6.582244,-5.861521,-5.150825,-4.473816,-3.805013,-3.225994,-2.713775,-2.297596,-2.003268,-1.848516,-1.839832,-1.979366,-2.262859,-2.657942,-3.122755,-3.617686,-4.09467,-4.496285,-4.766445,-4.834732,-4.318728,-3.702376,-2.993319,-2.261593,-1.603111,-1.102731,-0.7508273,-0.5054073,-0.3206178,-0.1568963,0.01621343,0.2236791,0.4582756,0.6830769,0.8605725,0.9652348,0.9910352,0.9430209,0.8344862,0.6886748,0.525845,0.3579294,0.1904225,0.03144805,-0.1113611,-0.2372386,-0.350243,-0.4545109,-0.5483807,-0.5774084,-0.4109781,-0.3196606,-0.2892207,-0.2855072,"nal res","e/sal","StressDVTotal"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.39906,13.42926,12.3632,11.21155,9.989066,8.711721,7.389885,6.035163,4.662671,3.288352,1.934578,0.6389564,-0.5618247,-1.637185,-2.564656,-3.338514,-3.968243,-4.466773,-4.848872,-5.129043,-5.323996,-5.451946,-5.530151,-5.574154,-5.59605,-5.598354,-5.579248,-5.53534,-5.461939,-5.353377,-5.202496,-5.00236,-4.746518,-4.430215,-4.05663,-3.637957,-3.18704,-2.717527,-2.206831,-1.743972,-1.302035,-0.8905293,-0.5175472,-0.1876779,0.1011793,0.3491006,0.5511078,0.6999748,0.8146198,0.8529396,0.8469137,0.8051507,0.7368523,0.6467946,0.5347698,0.4030837,0.2580896,0.10813,-0.04311435,-0.1965275,-0.3532673,-0.5157992,-0.6876659,-0.8673506,-1.050289,-1.01216,-0.8361314,-0.674963,-0.5297328,-0.3997604,-0.2820433,-0.1725121,-0.07036854,0.01917642,0.09080065,0.1392321,0.1597461,0.1532573,0.1257505,0.08313587,0.03048335,-0.02735988,-0.08584747,-0.141005,-0.1896984,-0.2289276,"nal res","e/sal","StressDVTotal"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.72203,17.46646,16.10401,14.63546,13.08172,11.4734,9.846979,8.230542,6.619894,5.006429,3.389383,1.777679,0.1944683,-1.335319,-2.79366,-4.170322,-5.447985,-6.594285,-7.561485,-8.288203,-8.735293,-8.907643,-8.854885,-8.654585,-8.36567,-8.020471,-7.629052,-7.192743,-6.692466,-6.257411,-5.867548,-5.546119,-5.288031,-5.081273,-4.9141,-4.773699,-4.644796,-4.508619,-4.341671,-4.122109,-3.861026,-3.587167,-3.339226,-3.153037,-3.0237,-2.933664,-2.863335,-2.795792,-2.721751,-2.633327,-2.523424,-2.392793,-2.247421,-2.008395,-1.479134,-0.9515588,-0.4363885,0.05218879,0.4969508,0.8748443,1.16179,1.350298,1.447894,1.469412,1.426676,1.326184,1.172353,0.9749115,0.7602113,0.5520702,0.3675881,0.21452,0.08427841,-0.03127042,-0.1354079,-0.2285594,-0.3083244,-0.3720997,-0.4190276,-0.4505645,-0.4679102,-0.4711922,-0.4615323,"nal res","e/sal","StressDVTotal"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.47375,9.475536,8.424158,7.269162,5.958099,4.448591,2.781303,1.056725,-0.6087008,-2.136345,-3.520157,-4.752897,-5.804335,-6.618545,-7.192156,-7.582161,-7.846865,-7.999806,-8.03176,-7.942459,-7.752073,-7.481075,-7.151114,-6.795112,-6.451997,-6.155121,-5.899871,-5.661171,-5.414409,-5.143461,-4.843178,-4.502202,-4.110045,-3.683109,-3.250867,-2.851734,-2.530264,-2.326501,-2.239688,-2.337542,-2.507623,-2.664432,-2.727908,-2.682947,-2.545351,-2.34603,-2.124624,-1.916572,-1.747268,-1.634569,-1.595105,-1.642357,-1.780296,-1.971288,-1.564041,-1.035983,-0.5314267,-0.07881271,0.3001523,0.5993866,0.8289801,0.9905051,1.068192,1.038581,0.9050199,0.6966728,0.458707,0.2273985,0.02094848,-0.1505817,-0.2793249,-0.3621085,-0.4010613,-0.4091693,-0.3970474,-0.3699635,-0.3290853,-0.2729928,-0.2003399,-0.113665,-0.0178199,0.07924707,"nal res","e/sal","StressDVTotal"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.96677,10.46542,9.675475,8.679643,7.597073,6.434317,5.196874,4.010864,2.993057,2.107788,1.297363,0.5279843,-0.1931023,-0.7172879,-0.9691373,-1.169513,-1.502598,-1.803826,-1.891277,-1.757657,-1.425622,-0.9886464,-0.5552042,-0.09908459,0.3907433,0.8282103,1.133981,1.251818,1.147654,0.8574856,0.4478359,-0.01409594,-0.4584592,-0.7350699,-0.9106934,-0.9404794,-0.8794446,-0.7547495,-0.5599076,-0.2740972,0.08132108,0.3673702,0.5147087,0.4963441,0.4270866,0.3773891,0.4294469,0.462228,0.2901842,-0.03621532,-0.3930655,-0.6908753,-0.9151749,-0.5456133,-0.187108,0.01914504,0.1213469,0.2090559,0.3528617,0.5419467,0.7533395,0.9739069,1.177123,1.307708,1.342506,1.277755,1.104178,0.7976555,0.4002806,0.04275852,-0.1858597,-0.2705244,"nal res","e/sal","StressDVTotal"
1.338341,2.444817,3.746003,5.275973,7.045693,9.011782,11.10645,13.29895,15.51726,17.51703,19.07117,20.08144,20.58995,20.73399,20.67415,20.52314,20.33654,20.09723,19.74824,19.15621,18.14964,16.68645,14.92894,13.09794,11.38465,9.923297,8.630594,7.29377,5.85945,4.495366,3.312595,2.331494,1.533138,0.8808542,0.3928878,0.09592572,-0.0350218,-0.05428464,-0.01918426,0.00701213,-0.01498367,-0.05825821,-0.08504572,-0.0993981,-0.1352005,-0.2203806,-0.358119,-0.5409213,-0.6929232,-0.7060032,-0.6023811,-0.6556047,-1.102178,-1.849645,-2.64579,-3.219316,-3.640065,-3.820596,-3.919749,-4.123895,-4.476464,-4.900832,-5.317009,-5.615723,-5.711781,-5.616638,-5.370419,-4.996049,-4.530956,-4.152388,-3.858445,-3.641895,-3.468291,-3.281704,-3.053378,-2.807901,-2.57594,-2.372994,-2.209149,-2.09358,-2.025216,-1.996565,-1.989003,-1.973349,-1.931908,-1.873245,-1.728409,-1.711088,-1.70815,-1.696739,-1.671001,-1.63542,-1.580936,-1.491709,-1.373628,-1.257688,-1.172995,-1.117159,-1.069547,-0.4951919,-0.4493507,"nal res","e/sal","StressDVTotal"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.32894,20.11337,19.92601,19.64685,19.16183,18.42412,17.42465,16.16136,14.64877,12.94251,11.11209,9.232761,7.369555,5.543221,3.766986,2.052725,0.4039125,-1.181715,-2.703253,-4.155321,-5.509266,-6.624011,-7.653917,-8.485914,-9.117903,-9.55678,-9.816529,-9.916684,-9.873359,-9.693247,-9.375548,-8.916522,-8.330228,-7.644193,-6.891035,-6.106937,-5.328971,-4.586423,-3.900206,-3.282671,-2.696888,-2.231015,-1.840651,-1.519457,-1.257503,-1.050592,-0.898963,-0.7937516,-0.7153705,-0.6446555,-0.5660274,-0.4874428,-0.4272166,-0.3975148,-0.405353,-0.438052,-0.4785398,-0.5145305,-0.5368953,-0.5448682,-0.5408137,-0.5266634,-0.5036118,-0.4777431,-0.4581157,-0.4541593,-0.4721042,-0.5117663,-0.571268,-0.6482048,-0.6556958,-0.4833309,-0.3599431,-0.3005547,-0.294303,-0.3153663,-0.3416128,-0.3575206,-0.3621675,-0.3606923,-0.3561474,-0.3497978,-0.3407749,-0.3277326,-0.3111395,"nal res","e/sal","StressDVTotal"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.30932,10.38292,10.41421,10.38807,10.31563,10.19937,10.03001,9.800786,9.511625,9.164121,8.759982,8.264475,7.622038,6.778139,5.711082,4.504199,3.268674,2.110376,1.093298,0.2389387,-0.4360581,-0.9244248,-1.274654,-1.567027,-1.87781,-2.255898,-2.65943,-3.025089,-3.292617,-3.386541,-3.439337,-3.43909,-3.417646,-3.388535,-3.352913,-3.311721,-3.266472,-3.209544,-3.123133,-2.984979,-2.78154,-2.527579,-2.252276,-1.992286,-1.754617,-1.605134,-1.530363,-1.532993,-1.592422,-1.681051,-1.773944,-1.851323,-1.906998,-1.938485,-1.942917,-1.923715,-1.891298,-1.854787,-1.822982,-1.795917,-1.766136,-1.726536,-1.584322,-1.364233,-1.174563,-1.011537,-0.8734957,-0.7603312,-0.670106,-0.6011144,-0.5513009,-0.5158242,-0.4903564,-0.4725314,-0.4637814,-0.4672444,-0.4856138,-0.5168642,-0.5535158,-0.5896843,-0.6190597,-0.6365753,-0.640396,-0.6288168,-0.6009805,-0.5592675,-0.5062132,-0.443774,"nal res","e/sal","StressDVTotal"
