"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","Filename","Appendage","Variable"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.821887,-3.74704,-3.669248,-3.589289,-3.507556,-3.423329,-3.33664,-3.248292,-3.158696,-3.06831,-2.977952,-2.887771,-2.797477,-2.706391,-2.613314,-2.517336,-2.419297,-2.320557,-2.222645,-2.127331,-2.036072,-1.952415,-1.8745,-1.80476,-1.742955,-1.6891,-1.642794,-1.604035,-1.573661,-1.552283,-1.540062,-1.535269,-1.534988,-1.536153,-1.536443,-1.534429,-1.528642,-1.51815,-1.501913,-1.478804,-1.448592,-1.411369,-1.367058,-1.315875,-1.257874,-1.193162,-1.123832,-1.052331,-0.9808375,-0.9112341,-0.8441454,-0.7795361,-0.7176002,-0.6578211,-0.5986376,-0.5387109,-0.4771324,-0.4162607,-0.3537338,-0.2928079,-0.2337464,-0.1756176,-0.1373079,-0.1324984,-0.1276216,-0.1224913,-0.1169894,-0.1111091,-0.1058872,-0.09974784,-0.09342876,-0.08697628,-0.08042009,-0.07380121,-0.0671874,-0.06055581,-0.05386877,-0.04717843,-0.04123277,-0.03481642,-0.02868465,-0.02292804,"nal res","e/sal","StressAxial"
0.05195767,-0.07556758,-0.385193,-0.7065089,-1.020601,-1.311525,-1.579562,-1.835142,-2.074011,-2.289798,-2.473037,-2.613579,-2.71297,-2.776863,-2.810584,-2.81549,-2.79129,-2.734912,-2.650598,-2.555088,-2.461128,-2.370588,-2.280891,-2.186228,-2.080722,-1.968094,-1.855493,-1.754764,-1.674359,-1.602606,-1.529227,-1.46152,-1.412391,-1.382802,-1.366945,-1.358689,-1.349823,-1.340155,-1.33456,-1.335036,-1.341409,-1.349775,-1.352038,-1.343329,-1.327154,-1.305898,-1.281305,-1.255105,-1.227333,-1.200247,-1.177808,-1.164172,-1.157794,-1.155941,-1.158573,-1.164943,-1.171881,-1.174489,-1.169323,-1.153171,-1.130299,-1.108556,-1.085362,-1.052251,-1.008629,-0.962632,-0.920525,-0.8688245,-0.8132514,-0.7574085,-0.7030693,-0.6504437,-0.6001203,-0.5485985,-0.4938397,-0.4402101,-0.3838856,-0.3284018,-0.2746339,-0.2259103,-0.180305,-0.1422214,-0.115979,-0.1017485,-0.1006685,-0.09939607,-0.09835953,-0.09752328,-0.09633579,-0.1054919,-0.159493,-0.1898193,-0.2020447,-0.186186,-0.1477765,-0.0951364,-0.08170561,-0.07944259,-0.07690533,-0.07412731,-0.07104381,"nal res","e/sal","StressAxial"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.626147,-3.461718,-3.285375,-3.104302,-2.925657,-2.757566,-2.608622,-2.481181,-2.365225,-2.249164,-2.123167,-1.986984,-1.842354,-1.690709,-1.535704,-1.382441,-1.236894,-1.102499,-0.9787633,-0.8646115,-0.7606631,-0.6779075,-0.6078905,-0.5598153,-0.5319115,-0.5227319,-0.5308424,-0.5529265,-0.5846572,-0.6213761,-0.660504,-0.7052428,-0.7443226,-0.7807063,-0.8103553,-0.8290236,-0.8330666,-0.819587,-0.7865412,-0.7325817,-0.6598302,-0.5731422,-0.4786376,-0.3836916,-0.2955524,-0.2193204,-0.1612083,-0.1654232,-0.1711868,-0.177462,-0.1814216,-0.180788,-0.1748362,-0.1655846,-0.1551982,-0.1454245,-0.1371609,-0.1309,-0.1268684,-0.1242769,-0.1219594,-0.1192022,-0.1176033,-0.11388,-0.1097928,-0.1054233,-0.1009813,-0.09652215,-0.09203916,-0.08795839,-0.0834249,-0.07854568,-0.07330023,-0.06759472,-0.06136656,-0.05452766,-0.05260536,-0.07001712,-0.0733835,-0.06564909,-0.05286736,"nal res","e/sal","StressAxial"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.956915,-3.853206,-3.738998,-3.614757,-3.481115,-3.338422,-3.186269,-3.024885,-2.855628,-2.680598,-2.503037,-2.328047,-2.160862,-2.006156,-1.867756,-1.74742,-1.644846,-1.55918,-1.489104,-1.433163,-1.38996,-1.357871,-1.334998,-1.319507,-1.309739,-1.303919,-1.300264,-1.29723,-1.293573,-1.288528,-1.282406,-1.275943,-1.270153,-1.265992,-1.263792,-1.263358,-1.264644,-1.267524,-1.2752,-1.279179,-1.281476,-1.280555,-1.274885,-1.26345,-1.246571,-1.224473,-1.196638,-1.162238,-1.123698,-1.075229,-1.020526,-0.9604463,-0.8962205,-0.8289227,-0.7594205,-0.689049,-0.6198369,-0.5539986,-0.4921196,-0.4334746,-0.377387,-0.3229929,-0.2692571,-0.2162281,-0.164596,-0.1415543,-0.1369862,-0.1324233,-0.1279218,-0.1235465,-0.1220327,-0.1182076,-0.114531,-0.1108207,-0.1068942,-0.1026099,-0.09788568,-0.09270083,-0.08706316,-0.08100268,-0.0745904,-0.06791501,-0.06341375,-0.05666417,-0.04983196,-0.04303788,"nal res","e/sal","StressAxial"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.719871,-4.582756,-4.431636,-4.265516,-4.085993,-3.896507,-3.702076,-3.506945,-3.310545,-3.11144,-2.90911,-2.703986,-2.4984,-2.295187,-2.096361,-1.902859,-1.715481,-1.536005,-1.367208,-1.213704,-1.080661,-0.9700505,-0.8798324,-0.804996,-0.7419554,-0.690233,-0.6523694,-0.6315296,-0.6277626,-0.6320546,-0.6422531,-0.6535072,-0.6634693,-0.6707793,-0.674085,-0.6725734,-0.6671407,-0.6594212,-0.6517048,-0.6470337,-0.6461665,-0.6473421,-0.646758,-0.6396857,-0.6240297,-0.5993513,-0.5663241,-0.525997,-0.4799649,-0.4304261,-0.3795967,-0.3285127,-0.27752,-0.2364149,-0.2293692,-0.2214807,-0.2128754,-0.203648,-0.1938875,-0.1837298,-0.1733211,-0.1628187,-0.1524145,-0.1438454,-0.1345058,-0.1257135,-0.1175652,-0.1100485,-0.1031085,-0.096715,-0.09084876,-0.08544367,-0.08028988,-0.07517115,-0.06990004,-0.06440256,-0.06234508,-0.05679917,-0.05111652,-0.04535641,-0.03956323,-0.03378362,-0.02810571,"nal res","e/sal","StressAxial"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.442826,-3.320446,-3.19459,-3.059384,-2.908084,-2.734337,-2.541201,-2.338018,-2.135494,-1.940339,-1.751887,-1.571027,-1.40325,-1.259543,-1.147104,-1.066159,-1.010542,-0.9750714,-0.9561966,-0.9508833,-0.9575001,-0.9745997,-1.000629,-1.032911,-1.06721,-1.09913,-1.127597,-1.153292,-1.177259,-1.199927,-1.220621,-1.240007,-1.259528,-1.279262,-1.298037,-1.312671,-1.316687,-1.302834,-1.268072,-1.203814,-1.125916,-1.047512,-0.9805162,-0.9254379,-0.8777172,-0.8310259,-0.7808123,-0.7250207,-0.6633862,-0.5955891,-0.5197651,-0.4349539,-0.3415382,-0.244499,-0.2218485,-0.2145899,-0.2066194,-0.1975605,-0.1871246,-0.1755592,-0.1636531,-0.1520365,-0.1410268,-0.1302388,-0.1196162,-0.1082743,-0.09674321,-0.08557372,-0.07526124,-0.0660251,-0.05787137,-0.0523094,-0.04613297,-0.04045516,-0.03501366,-0.02962173,-0.02433532,-0.01931586,-0.01473163,-0.01075975,-0.007534698,-0.005183151,"nal res","e/sal","StressAxial"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.535482,-3.500172,-3.430842,-3.335219,-3.225242,-3.100325,-2.960533,-2.820377,-2.693122,-2.573567,-2.454497,-2.333778,-2.213808,-2.111021,-2.035992,-1.965669,-1.881077,-1.808555,-1.776467,-1.788512,-1.840546,-1.915709,-1.998003,-2.08766,-2.182538,-2.266791,-2.325457,-2.349677,-2.334007,-2.280927,-2.196852,-2.090453,-1.974156,-1.867525,-1.769623,-1.685388,-1.609657,-1.540783,-1.481255,-1.435756,-1.402723,-1.361409,-1.298088,-1.204763,-1.094001,-0.9800161,-0.8795213,-0.7776421,-0.6507435,-0.5116027,-0.3806967,-0.2664666,-0.1655682,-0.1432799,-0.1363011,-0.1295745,-0.1242505,-0.121442,-0.1213939,-0.1230698,-0.1251,-0.1286914,-0.1280476,-0.124216,-0.1165753,-0.1060167,-0.0938023,-0.08043066,-0.07109498,-0.0546172,-0.03847267,-0.02434897,"nal res","e/sal","StressAxial"
-0.2616659,-0.4226588,-0.60511,-0.8138789,-1.052685,-1.31969,-1.609813,-1.917961,-2.229812,-2.514711,-2.750139,-2.942567,-3.086251,-3.191706,-3.272454,-3.337023,-3.390816,-3.432369,-3.456045,-3.449277,-3.396024,-3.291137,-3.149773,-2.99454,-2.844946,-2.71378,-2.594697,-2.469651,-2.332811,-2.195778,-2.068862,-1.955261,-1.855607,-1.769419,-1.700699,-1.652936,-1.624132,-1.609034,-1.603002,-1.600202,-1.596988,-1.59521,-1.598371,-1.606197,-1.61629,-1.626566,-1.637119,-1.648546,-1.66712,-1.700433,-1.744064,-1.772021,-1.762157,-1.719507,-1.662462,-1.611524,-1.562223,-1.521979,-1.475041,-1.404053,-1.305281,-1.186546,-1.057232,-0.9303429,-0.816871,-0.7194027,-0.6367956,-0.5690215,-0.5159026,-0.4642568,-0.4132545,-0.3613446,-0.3103747,-0.2654343,-0.2294906,-0.2018002,-0.1809329,-0.1658595,-0.1551717,-0.147315,-0.1410073,-0.1360617,-0.1328069,-0.1326039,-0.1358248,-0.1411704,-0.1539531,-0.1542644,-0.1505576,-0.1440311,-0.135938,-0.1274692,-0.1195278,-0.1132231,-0.1083108,-0.10657,-0.1047807,-0.1028515,-0.1023446,-0.1496661,-0.154967,"nal res","e/sal","StressAxial"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.449786,-3.441734,-3.439731,-3.432263,-3.408256,-3.363106,-3.295922,-3.206554,-3.096302,-2.969297,-2.830339,-2.684744,-2.53703,-2.388124,-2.239051,-2.091416,-1.946271,-1.80427,-1.66629,-1.532955,-1.40561,-1.293039,-1.184581,-1.090726,-1.007467,-0.9360856,-0.8770829,-0.8304621,-0.794947,-0.7689863,-0.7518756,-0.7435099,-0.7434633,-0.7505941,-0.7630797,-0.7781236,-0.7925352,-0.8039003,-0.8104939,-0.8110799,-0.8081939,-0.792695,-0.7679793,-0.7348011,-0.6946098,-0.6479512,-0.5948152,-0.5370973,-0.4789965,-0.4249176,-0.3791026,-0.3414909,-0.3097619,-0.2825358,-0.2588387,-0.2386998,-0.2221698,-0.2087328,-0.1978377,-0.189559,-0.1839041,-0.1807356,-0.1797433,-0.1791616,-0.1766949,-0.1703026,-0.1588156,-0.1424004,-0.1216765,-0.09769153,-0.07925948,-0.07933186,-0.07755089,-0.07503605,-0.07172,-0.06769189,-0.06308991,-0.05806558,-0.05280025,-0.04743391,-0.04205659,-0.03820274,-0.03331461,-0.02852466,-0.02387949,"nal res","e/sal","StressAxial"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.850324,-2.86906,-2.883386,-2.89133,-2.89401,-2.891902,-2.88435,-2.870783,-2.850945,-2.824671,-2.79194,-2.749368,-2.69168,-2.613868,-2.513926,-2.399146,-2.279154,-2.163057,-2.056184,-1.960213,-1.876603,-1.806037,-1.744434,-1.685275,-1.622635,-1.553061,-1.480914,-1.412159,-1.352267,-1.307315,-1.266075,-1.228404,-1.190831,-1.151909,-1.111719,-1.070668,-1.029189,-0.9874503,-0.9460919,-0.9061931,-0.8688307,-0.8345267,-0.8026137,-0.7712845,-0.7400875,-0.7018282,-0.6567585,-0.6041297,-0.5470754,-0.489961,-0.4368268,-0.3908065,-0.3516066,-0.3179351,-0.2886647,-0.262254,-0.23693,-0.2114276,-0.1847902,-0.1576845,-0.1319882,-0.109219,-0.09772372,-0.09532857,-0.0926033,-0.08959714,-0.08767772,-0.08432541,-0.08076135,-0.07700079,-0.07308867,-0.06908614,-0.06505135,-0.06104257,-0.05705528,-0.05307185,-0.04909307,-0.04511793,-0.04116093,-0.03724398,-0.03339459,-0.02963856,-0.02750338,-0.02393309,-0.02048621,-0.01723015,-0.01422944,-0.01153236,"nal res","e/sal","StressAxial"
