File.name,Appendage,Species,Calib.File,Pixels.Per.mm,Group,5fPriorStart.x,5fPriorStart.y,5fPriorEnd.x,5fPriorEnd.y,CycleStart.x,CycleStart.y,CycleEnd.X,CycleEnd.y,5fPostStart.x,5fPostStart.y,5fPostEnd.x,5fPostEnd.y,PriorDistance.pixels,StanceDistance.pixels,PostDistance.pixels,PriorDuration.s,StanceDuration.frames,StanceDuration.s,PostDuration.s,PriorSpeed.cm.s,StanceSpeed.cm.s,PostSpeed.cm.s
af01f32,Pec,af,cal07,3.379090909,FL,97,263,105.5,264.5,107.5,264.5,280,261.5,305.5,263.5,328,265.5,8.631338251,172.526085,22.588714,0.05,70,0.7,0.05,5.108674779,7.293850397,13.36969889
af01f34,Pec,af,cal07,3.379090909,FL,97.5,260.5,115.5,264.5,120,265,298,263,302.5,263.5,326.5,263,18.43908891,178.0112356,24.00520777,0.05,61,0.61,0.05,10.91363885,8.63610082,14.20808638
af01f35,Pec,af,cal07,3.379090909,FL,104,267,121.5,268,124,268,287.5,264,293,265,316.5,266,17.52854814,163.5489223,23.52126697,0.05,50,0.5,0.05,10.37471238,9.680054591,13.92165384
af01f37,Pel,af,cal07,3.379090909,HL,126.333,258.333,142.333,259,147,259,335,258.333,342,258.667,361.333,258,16.01389675,188.0011832,19.34450253,0.05,55,0.55,0.05,9.478227829,10.11574836,11.44953069
af01f40,Pec,af,cal08,3.409090909,FL,143.333,265.333,158.667,266.667,160,266.667,330,268,337,266.5,358.5,265.5,15.3919171,170.0052261,21.52324325,0.05,45,0.45,0.05,9.029924698,11.08182214,12.62696937
af01f41,Pec,af,cal08,3.409090909,FL,118.667,267.667,132.667,268.333,134,268.333,294,265.333,299.5,265.5,326,265.5,14.01583233,160.0281225,26.5,0.05,64,0.64,0.05,8.222621636,7.334622283,15.54666667
af01f43,Pec,af,cal08,3.409090909,FL,117.333,266.333,126,266.333,126.667,265.667,274,265,277.33,265.333,288.667,267.333,8.667,147.3345098,11.51206189,0.05,86,0.86,0.05,5.08464,5.025363125,6.753742977
af01f44,Pel,af,cal08,3.409090909,HL,159,259,173.667,259.667,178,259.667,347.333,258.333,350,258,358,258,14.68215849,169.3382545,8,0.05,96,0.96,0.05,8.613532982,5.174224444,4.693333333
af01f45,Pec,af,cal08,3.409090909,FL,144,260.333,165,264,170,264.333,338.667,265.333,343.333,266,364.667,265.333,21.31775994,168.6699644,21.34442421,0.05,49,0.49,0.05,12.50641917,10.09724957,12.52206221
af01f46,Pec,af,cal08,3.409090909,FL,161,261.5,175.5,263.5,177.5,264.5,330,260.5,333.5,260.5,357.5,259.5,14.63728117,152.55245,24.0208243,0.05,64,0.64,0.05,8.587204952,6.991987292,14.09221692
