StressAxial	StressAP	StressDV	NetBendFemMag	NetBendFemAng	PeakTensStress	PeakCompStress	FemShear	
-9.193025e+03	8.913044e+05	2.291500e+05	9.202898e+05	1.441821e+01	9.110968e+05	-9.294828e+05	-7.436294e+05	
-2.203493e+04	1.062617e+06	1.544734e+05	1.073787e+06	8.271190e+00	1.051752e+06	-1.095822e+06	-8.953658e+05	
-3.936234e+04	1.240378e+06	5.135643e+04	1.241441e+06	2.370912e+00	1.202079e+06	-1.280803e+06	-1.048346e+06	
-5.968085e+04	1.418294e+06	-7.072562e+04	1.420056e+06	-2.854788e+00	1.360375e+06	-1.479737e+06	-1.199329e+06	
-8.175181e+04	1.591157e+06	-2.040368e+05	1.604186e+06	-7.307262e+00	1.522434e+06	-1.685937e+06	-1.344197e+06	
-1.038242e+05	1.757214e+06	-3.356427e+05	1.788982e+06	-1.081373e+01	1.685158e+06	-1.892806e+06	-1.482079e+06	
-1.240903e+05	1.916428e+06	-4.519407e+05	1.968996e+06	-1.326932e+01	1.844906e+06	-2.093087e+06	-1.613690e+06	
-1.419058e+05	2.067486e+06	-5.480828e+05	2.138900e+06	-1.484739e+01	1.996994e+06	-2.280805e+06	-1.738457e+06	
-1.578584e+05	2.212727e+06	-6.289625e+05	2.300381e+06	-1.586768e+01	2.142523e+06	-2.458240e+06	-1.858431e+06	
-1.732783e+05	2.352518e+06	-7.051565e+05	2.455929e+06	-1.668587e+01	2.282651e+06	-2.629207e+06	-1.973572e+06	
-1.889064e+05	2.486810e+06	-7.813871e+05	2.606682e+06	-1.744338e+01	2.417775e+06	-2.795588e+06	-2.083706e+06	
-2.055132e+05	2.613293e+06	-8.595862e+05	2.751034e+06	-1.820751e+01	2.545521e+06	-2.956547e+06	-2.187164e+06	
-2.244104e+05	2.727754e+06	-9.424508e+05	2.885976e+06	-1.906026e+01	2.661565e+06	-3.110386e+06	-2.281449e+06	
-2.472712e+05	2.826880e+06	-1.032753e+06	3.009623e+06	-2.006893e+01	2.762351e+06	-3.256894e+06	-2.365475e+06	
-2.767067e+05	2.905714e+06	-1.137857e+06	3.120560e+06	-2.138497e+01	2.843853e+06	-3.397266e+06	-2.437014e+06	
