FQuads	FAdd	FRet	Faext	QuadsBMom	AddBMom	RetBMom	
0.000000e+00	-1.023696e-02	0.000000e+00	-1.916462e-01	0.000000e+00	-0.000000e+00	0.000000e+00	
0.000000e+00	-5.287979e-03	0.000000e+00	-1.976670e-01	0.000000e+00	-0.000000e+00	0.000000e+00	
0.000000e+00	-1.080157e-03	0.000000e+00	-2.024872e-01	0.000000e+00	-0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	0.000000e+00	-2.058559e-01	0.000000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	0.000000e+00	-2.075664e-01	0.000000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	0.000000e+00	-2.075467e-01	0.000000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	0.000000e+00	-2.059096e-01	0.000000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	0.000000e+00	-2.029363e-01	0.000000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	0.000000e+00	-1.990372e-01	0.000000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	0.000000e+00	-1.947079e-01	0.000000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	0.000000e+00	-1.904569e-01	0.000000e+00	0.000000e+00	0.000000e+00	
8.150135e-04	0.000000e+00	0.000000e+00	-1.866626e-01	1.113709e-06	0.000000e+00	0.000000e+00	
1.251480e-02	0.000000e+00	0.000000e+00	-1.835208e-01	1.710137e-05	0.000000e+00	0.000000e+00	
2.604479e-02	0.000000e+00	0.000000e+00	-1.810988e-01	3.558998e-05	0.000000e+00	0.000000e+00	
4.139178e-02	0.000000e+00	0.000000e+00	-1.793291e-01	5.656151e-05	0.000000e+00	0.000000e+00	
5.863519e-02	0.000000e+00	0.000000e+00	-1.780824e-01	8.012447e-05	0.000000e+00	0.000000e+00	
7.800104e-02	0.000000e+00	0.000000e+00	-1.773602e-01	1.065877e-04	0.000000e+00	0.000000e+00	
9.968015e-02	0.000000e+00	0.000000e+00	-1.772268e-01	1.362121e-04	0.000000e+00	0.000000e+00	
1.237522e-01	0.000000e+00	0.000000e+00	-1.777179e-01	1.691062e-04	0.000000e+00	0.000000e+00	
1.502249e-01	0.000000e+00	0.000000e+00	-1.789143e-01	2.052810e-04	0.000000e+00	0.000000e+00	
1.789619e-01	0.000000e+00	0.000000e+00	-1.809317e-01	2.445499e-04	0.000000e+00	0.000000e+00	
2.094877e-01	0.000000e+00	0.000000e+00	-1.837502e-01	2.862631e-04	0.000000e+00	0.000000e+00	
2.412327e-01	0.000000e+00	0.000000e+00	-1.872399e-01	3.296424e-04	0.000000e+00	0.000000e+00	
2.736091e-01	0.000000e+00	0.000000e+00	-1.912734e-01	3.738844e-04	0.000000e+00	0.000000e+00	
3.059781e-01	0.000000e+00	0.000000e+00	-1.957296e-01	4.181164e-04	0.000000e+00	0.000000e+00	
3.377887e-01	0.000000e+00	0.000000e+00	-2.003757e-01	4.615853e-04	0.000000e+00	0.000000e+00	
3.687843e-01	0.000000e+00	0.000000e+00	-2.048426e-01	5.039405e-04	0.000000e+00	0.000000e+00	
3.987862e-01	0.000000e+00	0.000000e+00	-2.087982e-01	5.449379e-04	0.000000e+00	0.000000e+00	
4.276428e-01	0.000000e+00	0.000000e+00	-2.119361e-01	5.843701e-04	0.000000e+00	0.000000e+00	
4.552867e-01	0.000000e+00	0.000000e+00	-2.138711e-01	6.221454e-04	0.000000e+00	0.000000e+00	
4.817023e-01	0.000000e+00	0.000000e+00	-2.143206e-01	6.582420e-04	0.000000e+00	0.000000e+00	
5.068097e-01	0.000000e+00	0.000000e+00	-2.133117e-01	6.925511e-04	0.000000e+00	0.000000e+00	
5.305176e-01	-1.087442e-03	0.000000e+00	-2.109954e-01	7.249476e-04	-0.000000e+00	0.000000e+00	
5.528390e-01	-8.080103e-03	0.000000e+00	-2.075027e-01	7.554497e-04	-0.000000e+00	0.000000e+00	
5.738211e-01	-1.553836e-02	0.000000e+00	-2.030175e-01	7.841215e-04	-0.000000e+00	0.000000e+00	
5.932797e-01	-2.331595e-02	0.000000e+00	-1.980920e-01	8.107116e-04	-0.000000e+00	0.000000e+00	
6.107689e-01	-3.133179e-02	0.000000e+00	-1.935748e-01	8.346103e-04	-0.000000e+00	0.000000e+00	
6.256930e-01	-3.958786e-02	0.000000e+00	-1.903566e-01	8.550040e-04	-0.000000e+00	0.000000e+00	
6.371739e-01	-4.812992e-02	0.000000e+00	-1.894593e-01	8.706925e-04	-0.000000e+00	0.000000e+00	
6.440304e-01	-5.700357e-02	0.000000e+00	-1.919721e-01	8.800620e-04	-0.000000e+00	0.000000e+00	
6.454901e-01	-6.629834e-02	0.000000e+00	-1.981829e-01	8.820566e-04	-0.000000e+00	0.000000e+00	
6.412213e-01	-7.617228e-02	0.000000e+00	-2.077267e-01	8.762233e-04	-0.000000e+00	0.000000e+00	
6.311932e-01	-8.677617e-02	0.000000e+00	-2.199282e-01	8.625201e-04	-0.000000e+00	0.000000e+00	
6.156541e-01	-9.818509e-02	0.000000e+00	-2.339624e-01	8.412860e-04	-0.000000e+00	0.000000e+00	
5.951613e-01	-1.104086e-01	0.000000e+00	-2.487950e-01	8.132828e-04	-0.000000e+00	0.000000e+00	
5.704011e-01	-1.233877e-01	0.000000e+00	-2.632180e-01	7.794481e-04	-0.000000e+00	0.000000e+00	
5.421440e-01	-1.370057e-01	0.000000e+00	-2.761293e-01	7.408350e-04	-0.000000e+00	0.000000e+00	
5.111300e-01	-1.510711e-01	0.000000e+00	-2.866782e-01	6.984547e-04	-0.000000e+00	0.000000e+00	
4.781389e-01	-1.653853e-01	0.000000e+00	-2.941444e-01	6.533727e-04	-0.000000e+00	0.000000e+00	
4.436709e-01	-1.798286e-01	4.626342e-03	-2.982844e-01	6.062724e-04	-0.000000e+00	8.554543e-06	
4.076496e-01	-1.943137e-01	1.785085e-02	-2.996242e-01	5.570496e-04	-0.000000e+00	3.300790e-05	
3.697742e-01	-2.087029e-01	3.106442e-02	-2.989639e-01	5.052932e-04	-0.000000e+00	5.744105e-05	
3.296559e-01	-2.228707e-01	4.434686e-02	-2.971484e-01	4.504719e-04	-0.000000e+00	8.200154e-05	
2.869509e-01	-2.367322e-01	5.780035e-02	-2.949598e-01	3.921159e-04	-0.000000e+00	1.068783e-04	
2.421573e-01	-2.501654e-01	7.128314e-02	-2.929501e-01	3.309058e-04	-0.000000e+00	1.318093e-04	
1.963851e-01	-2.630115e-01	8.446702e-02	-2.915021e-01	2.683585e-04	-0.000000e+00	1.561875e-04	
1.507815e-01	-2.751728e-01	9.703481e-02	-2.908685e-01	2.060416e-04	-0.000000e+00	1.794265e-04	
1.065404e-01	-2.866182e-01	1.086751e-01	-2.911376e-01	1.455865e-04	-0.000000e+00	2.009505e-04	
6.474919e-02	-2.972675e-01	1.191119e-01	-2.923326e-01	8.847921e-05	-0.000000e+00	2.202491e-04	
2.592687e-02	-3.069008e-01	1.282848e-01	-2.941943e-01	3.542884e-05	-0.000000e+00	2.372107e-04	
0.000000e+00	-3.152987e-01	1.351366e-01	-2.963013e-01	0.000000e+00	-0.000000e+00	2.498803e-04	
0.000000e+00	-3.222966e-01	1.382677e-01	-2.982210e-01	0.000000e+00	-0.000000e+00	2.556701e-04	
0.000000e+00	-3.277109e-01	1.407021e-01	-2.996663e-01	0.000000e+00	-0.000000e+00	2.601715e-04	
0.000000e+00	-3.314050e-01	1.425670e-01	-3.006040e-01	0.000000e+00	-0.000000e+00	2.636199e-04	
0.000000e+00	-3.334952e-01	1.440585e-01	-3.012682e-01	0.000000e+00	-0.000000e+00	2.663778e-04	
0.000000e+00	-3.342101e-01	1.453616e-01	-3.018103e-01	0.000000e+00	-0.000000e+00	2.687873e-04	
0.000000e+00	-3.337483e-01	1.466218e-01	-3.023471e-01	0.000000e+00	-0.000000e+00	2.711176e-04	
0.000000e+00	-3.322785e-01	1.479427e-01	-3.029300e-01	0.000000e+00	-0.000000e+00	2.735601e-04	
0.000000e+00	-3.300410e-01	1.493391e-01	-3.033157e-01	0.000000e+00	-0.000000e+00	2.761421e-04	
0.000000e+00	-3.273034e-01	1.507227e-01	-3.029863e-01	0.000000e+00	-0.000000e+00	2.787005e-04	
0.000000e+00	-3.242190e-01	1.519895e-01	-3.014891e-01	0.000000e+00	-0.000000e+00	2.810430e-04	
0.000000e+00	-3.208588e-01	1.530402e-01	-2.984363e-01	0.000000e+00	-0.000000e+00	2.829858e-04	
0.000000e+00	-3.173309e-01	1.537822e-01	-2.934008e-01	0.000000e+00	-0.000000e+00	2.843578e-04	
0.000000e+00	-3.136549e-01	1.541168e-01	-2.861827e-01	0.000000e+00	-0.000000e+00	2.849765e-04	
0.000000e+00	-3.096885e-01	1.539460e-01	-2.769053e-01	0.000000e+00	-0.000000e+00	2.846607e-04	
0.000000e+00	-3.052628e-01	1.531905e-01	-2.658088e-01	0.000000e+00	-0.000000e+00	2.832637e-04	
0.000000e+00	-3.002940e-01	1.517915e-01	-2.531415e-01	0.000000e+00	-0.000000e+00	2.806769e-04	
0.000000e+00	-2.947190e-01	1.497323e-01	-2.393259e-01	0.000000e+00	-0.000000e+00	2.768691e-04	
0.000000e+00	-2.883238e-01	1.471462e-01	-2.254823e-01	0.000000e+00	-0.000000e+00	2.720873e-04	
0.000000e+00	-2.808565e-01	1.442554e-01	-2.128650e-01	0.000000e+00	-0.000000e+00	2.667419e-04	
0.000000e+00	-2.721918e-01	1.413016e-01	-2.023738e-01	0.000000e+00	-0.000000e+00	2.612799e-04	
0.000000e+00	-2.622533e-01	1.385365e-01	-1.946689e-01	0.000000e+00	-0.000000e+00	2.561671e-04	
0.000000e+00	-2.509472e-01	1.361757e-01	-1.900520e-01	0.000000e+00	-0.000000e+00	2.518017e-04	
0.000000e+00	-2.383514e-01	1.342475e-01	-1.878543e-01	0.000000e+00	-0.000000e+00	2.482363e-04	
0.000000e+00	-2.302998e-01	1.346145e-01	-1.781102e-01	0.000000e+00	-0.000000e+00	2.489150e-04	
0.000000e+00	-2.164261e-01	1.336472e-01	-1.762408e-01	0.000000e+00	-0.000000e+00	2.471263e-04	
0.000000e+00	-2.017648e-01	1.328082e-01	-1.741466e-01	0.000000e+00	-0.000000e+00	2.455748e-04	
0.000000e+00	-1.865118e-01	1.320007e-01	-1.712678e-01	0.000000e+00	-0.000000e+00	2.440818e-04	
0.000000e+00	-1.710215e-01	1.311309e-01	-1.672680e-01	0.000000e+00	-0.000000e+00	2.424733e-04	
0.000000e+00	-1.556692e-01	1.301050e-01	-1.619768e-01	0.000000e+00	-0.000000e+00	2.405764e-04	
0.000000e+00	-1.407312e-01	1.288442e-01	-1.554103e-01	0.000000e+00	-0.000000e+00	2.382452e-04	
0.000000e+00	-1.264826e-01	1.272812e-01	-1.476596e-01	0.000000e+00	-0.000000e+00	2.353550e-04	
0.000000e+00	-1.132691e-01	1.252893e-01	-1.388071e-01	0.000000e+00	-0.000000e+00	2.316718e-04	
0.000000e+00	-1.013580e-01	1.227325e-01	-1.290206e-01	0.000000e+00	-0.000000e+00	2.269440e-04	
0.000000e+00	-9.084426e-02	1.195457e-01	-1.185783e-01	0.000000e+00	-0.000000e+00	2.210513e-04	
0.000000e+00	-8.178842e-02	1.157359e-01	-1.076683e-01	0.000000e+00	-0.000000e+00	2.140067e-04	
