StressDVtot	StressDVm	StressDVexternal	StressDVFax	StressAPtot	StressAPm	StressAPexternal	StressAPFax	
1.362166e+05	0.000000e+00	1.275879e+05	8.628660e+03	2.376134e+06	0.000000e+00	2.382621e+06	-6.486906e+03	
2.663422e+05	0.000000e+00	2.555153e+05	1.082698e+04	2.420168e+06	0.000000e+00	2.428307e+06	-8.139574e+03	
4.489990e+05	0.000000e+00	4.353948e+05	1.360426e+04	2.442534e+06	0.000000e+00	2.452761e+06	-1.022749e+04	
6.838909e+05	-0.000000e+00	6.671350e+05	1.675592e+04	2.441590e+06	0.000000e+00	2.454187e+06	-1.259687e+04	
9.692516e+05	-0.000000e+00	9.491877e+05	2.006393e+04	2.416042e+06	0.000000e+00	2.431125e+06	-1.508378e+04	
1.226444e+06	-7.637210e+04	1.279531e+06	2.328539e+04	2.365601e+06	0.000000e+00	2.383107e+06	-1.750563e+04	
1.421081e+06	-2.592678e+05	1.654172e+06	2.617643e+04	2.290609e+06	0.000000e+00	2.310288e+06	-1.967907e+04	
1.639072e+06	-4.551750e+05	2.065711e+06	2.853583e+04	2.191335e+06	0.000000e+00	2.212788e+06	-2.145283e+04	
1.879453e+06	-6.553888e+05	2.504647e+06	3.019456e+04	2.068691e+06	0.000000e+00	2.091391e+06	-2.269985e+04	
2.140274e+06	-8.499575e+05	2.959185e+06	3.104615e+04	1.924473e+06	0.000000e+00	1.947813e+06	-2.334006e+04	
2.413453e+06	-1.031672e+06	3.414008e+06	3.111729e+04	1.760998e+06	0.000000e+00	1.784392e+06	-2.339354e+04	
2.691077e+06	-1.192495e+06	3.853075e+06	3.049695e+04	1.581876e+06	0.000000e+00	1.604803e+06	-2.292718e+04	
2.968688e+06	-1.322790e+06	4.262176e+06	2.930237e+04	1.392533e+06	0.000000e+00	1.414562e+06	-2.202911e+04	
3.241846e+06	-1.415338e+06	4.629492e+06	2.769155e+04	1.199277e+06	0.000000e+00	1.220095e+06	-2.081812e+04	
3.502221e+06	-1.471287e+06	4.947764e+06	2.574373e+04	1.008684e+06	0.000000e+00	1.028038e+06	-1.935378e+04	
3.742950e+06	-1.495531e+06	5.215010e+06	2.347129e+04	8.277116e+05	0.000000e+00	8.453570e+05	-1.764539e+04	
3.958295e+06	-1.495213e+06	5.432646e+06	2.086309e+04	6.627848e+05	0.000000e+00	6.784694e+05	-1.568458e+04	
4.144090e+06	-1.478254e+06	5.604408e+06	1.793610e+04	5.181405e+05	0.000000e+00	5.316246e+05	-1.348411e+04	
4.303322e+06	-1.448328e+06	5.736843e+06	1.480697e+04	3.944178e+05	0.000000e+00	4.055495e+05	-1.113167e+04	
4.441802e+06	-1.407936e+06	5.838128e+06	1.160985e+04	2.903507e+05	0.000000e+00	2.990788e+05	-8.728121e+03	
