KneeAng	AnkAng	MPAng	DotMPAng	Yaw	  Pitch	FemTVAng	FemHZAng	FemHZAngP	TibPSAng	TibPSAngYaw	TibHZAng	TibHZAngP	
9.682773e+01	1.323064e+02	1.660770e+02	1.660770e+02	-1.485963e+01	1.281083e+02	1.015730e+02	-7.133024e+00	-1.588017e+01	1.941111e+01	6.929795e+00	-3.180968e+01	-1.686448e+01	
9.485421e+01	1.331757e+02	1.671090e+02	1.671090e+02	-1.554648e+01	1.277761e+02	9.927026e+01	-6.600318e+00	-1.514938e+01	1.957104e+01	6.644057e+00	-3.265770e+01	-1.625752e+01	
9.297234e+01	1.338532e+02	1.678388e+02	1.678388e+02	-1.611857e+01	1.275594e+02	9.698610e+01	-6.142234e+00	-1.423199e+01	1.961518e+01	6.353126e+00	-3.352434e+01	-1.555929e+01	
9.118058e+01	1.343359e+02	1.683177e+02	1.683177e+02	-1.657952e+01	1.274473e+02	9.472799e+01	-5.751092e+00	-1.315326e+01	1.955606e+01	6.063639e+00	-3.440613e+01	-1.478065e+01	
8.947728e+01	1.346288e+02	1.686029e+02	1.686029e+02	-1.693847e+01	1.274270e+02	9.249820e+01	-5.419392e+00	-1.193826e+01	1.940644e+01	5.777842e+00	-3.529948e+01	-1.393314e+01	
8.785994e+01	1.347439e+02	1.687441e+02	1.687441e+02	-1.721041e+01	1.274844e+02	9.029322e+01	-5.139234e+00	-1.061167e+01	1.917925e+01	5.493577e+00	-3.620050e+01	-1.302946e+01	
8.632085e+01	1.347022e+02	1.687706e+02	1.687706e+02	-1.742306e+01	1.276017e+02	8.809419e+01	-4.899326e+00	-9.197763e+00	1.888787e+01	5.199099e+00	-3.710389e+01	-1.208651e+01	
8.484953e+01	1.345316e+02	1.686930e+02	1.686930e+02	-1.760988e+01	1.277596e+02	8.587549e+01	-4.686934e+00	-7.719632e+00	1.854581e+01	4.879126e+00	-3.800395e+01	-1.112320e+01	
8.343447e+01	1.342633e+02	1.685072e+02	1.685072e+02	-1.780508e+01	1.279383e+02	8.361095e+01	-4.489301e+00	-6.198822e+00	1.816652e+01	4.518961e+00	-3.889515e+01	-1.015887e+01	
8.206505e+01	1.339290e+02	1.682001e+02	1.682001e+02	-1.803949e+01	1.281188e+02	8.127910e+01	-4.295051e+00	-4.655182e+00	1.776318e+01	4.107639e+00	-3.977286e+01	-9.211721e+00	
8.075252e+01	1.335404e+02	1.677837e+02	1.677837e+02	-1.830123e+01	1.282931e+02	7.891577e+01	-4.108530e+00	-3.106951e+00	1.734703e+01	3.667172e+00	-4.063918e+01	-8.283404e+00	
7.952288e+01	1.330934e+02	1.672903e+02	1.672903e+02	-1.855091e+01	1.284604e+02	7.659395e+01	-3.944388e+00	-1.571965e+00	1.692787e+01	3.239362e+00	-4.150075e+01	-7.364544e+00	
7.840216e+01	1.325811e+02	1.667535e+02	1.667535e+02	-1.874869e+01	1.286208e+02	7.438713e+01	-3.817564e+00	-6.768093e-02	1.651524e+01	2.864826e+00	-4.236459e+01	-6.445095e+00	
7.741492e+01	1.319963e+02	1.662084e+02	1.662084e+02	-1.885575e+01	1.287740e+02	7.236638e+01	-3.741961e+00	1.389225e+00	1.611805e+01	2.581444e+00	-4.323819e+01	-5.514943e+00	
7.656741e+01	1.313493e+02	1.656948e+02	1.656948e+02	-1.886239e+01	1.289114e+02	7.055752e+01	-3.709052e+00	2.780637e+00	1.573559e+01	2.394986e+00	-4.413046e+01	-4.573813e+00	
7.584671e+01	1.306690e+02	1.652555e+02	1.652555e+02	-1.878809e+01	1.290150e+02	6.894076e+01	-3.688181e+00	4.087917e+00	1.535775e+01	2.280513e+00	-4.505091e+01	-3.632314e+00	
7.523679e+01	1.299841e+02	1.649334e+02	1.649334e+02	-1.865343e+01	1.290662e+02	6.749320e+01	-3.648145e+00	5.294750e+00	1.497425e+01	2.212598e+00	-4.600816e+01	-2.702955e+00	
7.471932e+01	1.293211e+02	1.647713e+02	1.647713e+02	-1.847886e+01	1.290457e+02	6.619077e+01	-3.558356e+00	6.387237e+00	1.457510e+01	2.166724e+00	-4.700974e+01	-1.799768e+00	
7.427430e+01	1.286883e+02	1.647771e+02	1.647771e+02	-1.828080e+01	1.289539e+02	6.499910e+01	-3.401037e+00	7.371277e+00	1.415182e+01	2.123420e+00	-4.806308e+01	-9.175346e-01	
7.388351e+01	1.280683e+02	1.649027e+02	1.649027e+02	-1.806965e+01	1.288228e+02	6.386893e+01	-3.177642e+00	8.279809e+00	1.369762e+01	2.070118e+00	-4.917722e+01	-1.780347e-02	
7.353264e+01	1.274426e+02	1.650947e+02	1.650947e+02	-1.785548e+01	1.286887e+02	6.275017e+01	-2.890801e+00	9.145082e+00	1.320538e+01	1.994849e+00	-5.036223e+01	9.430283e-01	
7.321177e+01	1.267948e+02	1.652978e+02	1.652978e+02	-1.764863e+01	1.285893e+02	6.159321e+01	-2.542749e+00	9.995843e+00	1.266741e+01	1.885755e+00	-5.162910e+01	2.011277e+00	
7.292350e+01	1.261114e+02	1.654622e+02	1.654622e+02	-1.745287e+01	1.285459e+02	6.037696e+01	-2.139117e+00	1.084436e+01	1.208184e+01	1.740872e+00	-5.298543e+01	3.215839e+00	
7.269134e+01	1.253835e+02	1.655526e+02	1.655526e+02	-1.725534e+01	1.285364e+02	5.914920e+01	-1.694335e+00	1.167108e+01	1.146181e+01	1.581581e+00	-5.442955e+01	4.537725e+00	
7.254030e+01	1.246053e+02	1.655368e+02	1.655368e+02	-1.704075e+01	1.285311e+02	5.796721e+01	-1.223980e+00	1.245480e+01	1.082197e+01	1.431313e+00	-5.596061e+01	5.951294e+00	
7.249357e+01	1.237732e+02	1.653841e+02	1.653841e+02	-1.679405e+01	1.284992e+02	5.688706e+01	-7.433013e-01	1.317812e+01	1.017605e+01	1.311638e+00	-5.758057e+01	7.432030e+00	
7.256756e+01	1.228880e+02	1.650763e+02	1.650763e+02	-1.650287e+01	1.284107e+02	5.595187e+01	-2.626578e-01	1.383143e+01	9.532332e+00	1.235453e+00	-5.929198e+01	8.954960e+00	
7.275742e+01	1.219634e+02	1.646370e+02	1.646370e+02	-1.616359e+01	1.282426e+02	5.515781e+01	2.258446e-01	1.442378e+01	8.880513e+00	1.187991e+00	-6.108862e+01	1.048747e+01	
7.305107e+01	1.210167e+02	1.640991e+02	1.640991e+02	-1.577349e+01	1.279727e+02	5.449117e+01	7.349297e-01	1.496926e+01	8.206561e+00	1.148073e+00	-6.295975e+01	1.199202e+01	
7.343397e+01	1.200665e+02	1.634932e+02	1.634932e+02	-1.532777e+01	1.275772e+02	5.394075e+01	1.277776e+00	1.548287e+01	7.497450e+00	1.094902e+00	-6.489184e+01	1.342702e+01	
7.389115e+01	1.191298e+02	1.628471e+02	1.628471e+02	-1.481534e+01	1.270392e+02	5.350032e+01	1.866438e+00	1.598111e+01	6.741486e+00	1.010887e+00	-6.687247e+01	1.475917e+01	
7.442212e+01	1.182004e+02	1.621834e+02	1.621834e+02	-1.419944e+01	1.263988e+02	5.317795e+01	2.501985e+00	1.648189e+01	5.930041e+00	8.952544e-01	-6.891407e+01	1.603868e+01	
7.503613e+01	1.172624e+02	1.615218e+02	1.615218e+02	-1.343414e+01	1.257226e+02	5.298650e+01	3.180198e+00	1.699975e+01	5.056327e+00	7.481271e-01	-7.103704e+01	1.735231e+01	
7.574637e+01	1.163003e+02	1.608793e+02	1.608793e+02	-1.247584e+01	1.250828e+02	5.293683e+01	3.895635e+00	1.754412e+01	4.115042e+00	5.611236e-01	-7.325698e+01	1.878888e+01	
7.656670e+01	1.153014e+02	1.602699e+02	1.602699e+02	-1.128923e+01	1.245512e+02	5.303292e+01	4.640894e+00	1.811933e+01	3.105427e+00	3.174657e-01	-7.557948e+01	2.043071e+01	
7.748360e+01	1.142774e+02	1.596907e+02	1.596907e+02	-9.881208e+00	1.241469e+02	5.324802e+01	5.402642e+00	1.873613e+01	2.056467e+00	6.720957e-03	-7.796928e+01	2.227557e+01	
7.846832e+01	1.132525e+02	1.591295e+02	1.591295e+02	-8.283330e+00	1.238520e+02	5.353814e+01	6.163385e+00	1.941232e+01	1.014468e+00	-3.695822e-01	-8.036781e+01	2.426878e+01	
7.949802e+01	1.122462e+02	1.585757e+02	1.585757e+02	-6.526009e+00	1.236462e+02	5.386108e+01	6.904179e+00	2.016687e+01	2.357564e-02	-8.025872e-01	-8.271281e+01	2.635902e+01	
