FQuads	FAdd	FRet	Faext	QuadsBMom	AddBMom	RetBMom	
0.000000e+00	-2.088722e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.065639e-03	0.000000e+00	
0.000000e+00	-2.174331e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.232274e-03	0.000000e+00	
0.000000e+00	-2.222751e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.326522e-03	0.000000e+00	
0.000000e+00	-2.226061e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.332966e-03	0.000000e+00	
0.000000e+00	-2.198188e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.278711e-03	0.000000e+00	
0.000000e+00	-2.157540e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.199592e-03	0.000000e+00	
0.000000e+00	-2.119849e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.126227e-03	0.000000e+00	
0.000000e+00	-2.096044e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.079892e-03	0.000000e+00	
0.000000e+00	-2.085720e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.059796e-03	0.000000e+00	
0.000000e+00	-2.080908e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.050429e-03	0.000000e+00	
0.000000e+00	-2.073467e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.035945e-03	0.000000e+00	
0.000000e+00	-2.058690e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.007182e-03	0.000000e+00	
0.000000e+00	-2.036687e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.964354e-03	0.000000e+00	
0.000000e+00	-2.007370e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.907289e-03	0.000000e+00	
0.000000e+00	-1.972556e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.839525e-03	0.000000e+00	
0.000000e+00	-1.939183e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.774565e-03	0.000000e+00	
0.000000e+00	-1.914832e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.727167e-03	0.000000e+00	
0.000000e+00	-1.903961e+00	2.511613e-02	0.000000e+00	0.000000e+00	-3.706006e-03	1.145133e-05	
0.000000e+00	-1.898814e+00	6.409098e-02	0.000000e+00	0.000000e+00	-3.695987e-03	2.922133e-05	
0.000000e+00	-1.890930e+00	9.213932e-02	0.000000e+00	0.000000e+00	-3.680643e-03	4.200956e-05	
0.000000e+00	-1.875076e+00	9.998295e-02	0.000000e+00	0.000000e+00	-3.649783e-03	4.558575e-05	
0.000000e+00	-1.848407e+00	8.906929e-02	0.000000e+00	0.000000e+00	-3.597873e-03	4.060982e-05	
0.000000e+00	-1.809208e+00	6.632616e-02	0.000000e+00	0.000000e+00	-3.521574e-03	3.024043e-05	
