Pct	FAxFem(N)	FAP(N)	FDV(N)	HipTorqAP(Nm)	HipTorqDV(Nm)	FemTorsion(Nm)	TKFlex(Nm)	FAxTib(N)	FMLTib(N)	TAnkFlex(Nm)	TibTorsion(Nm)	Rhip(m)	Rknee(m)	Rankle(m)	Fem-GRFang(deg)	Tib-GRFang(deg)	
0.000000e+00	-8.287392e-02	1.807798e-03	-2.148352e-01	-1.913740e-04	5.008921e-03	-6.053652e-04	-3.388977e-03	-1.953850e-01	-1.218481e-01	2.236653e-04	-3.604901e-04	2.175213e-02	-1.471723e-02	9.713063e-04	1.110938e+02	1.480483e+02	
1.000000e+00	-7.926349e-02	-2.753022e-05	-2.190370e-01	-2.662588e-04	4.955157e-03	-7.340593e-04	-3.323176e-03	-2.005077e-01	-1.185603e-01	2.657804e-04	-3.970660e-04	2.127247e-02	-1.426638e-02	1.140994e-03	1.098938e+02	1.494042e+02	
2.000000e+00	-7.553537e-02	-5.932891e-04	-2.237062e-01	-3.017977e-04	4.927747e-03	-8.551021e-04	-3.267788e-03	-2.056235e-01	-1.160563e-01	2.917219e-04	-4.378294e-04	2.087009e-02	-1.383980e-02	1.235507e-03	1.086575e+02	1.505588e+02	
3.000000e+00	-7.162069e-02	-2.373829e-04	-2.286280e-01	-3.079958e-04	4.923691e-03	-9.668665e-04	-3.221770e-03	-2.105431e-01	-1.143322e-01	3.040376e-04	-4.811824e-04	2.055103e-02	-1.344737e-02	1.269025e-03	1.073939e+02	1.514965e+02	
4.000000e+00	-6.752667e-02	7.313018e-04	-2.335240e-01	-2.933927e-04	4.937922e-03	-1.068102e-03	-3.182680e-03	-2.150895e-01	-1.132688e-01	3.054187e-04	-5.252551e-04	2.031295e-02	-1.309248e-02	1.256390e-03	1.061279e+02	1.522277e+02	
5.000000e+00	-6.332925e-02	2.094944e-03	-2.381513e-01	-2.642489e-04	4.965139e-03	-1.157963e-03	-3.147743e-03	-2.191557e-01	-1.126829e-01	2.983623e-04	-5.684420e-04	2.014773e-02	-1.277303e-02	1.210706e-03	1.048910e+02	1.527852e+02	
6.000000e+00	-5.915254e-02	3.712415e-03	-2.423612e-01	-2.251795e-04	5.000758e-03	-1.236459e-03	-3.114137e-03	-2.227460e-01	-1.123486e-01	2.852387e-04	-6.094536e-04	2.004288e-02	-1.248136e-02	1.143227e-03	1.037144e+02	1.532220e+02	
7.000000e+00	-5.516391e-02	5.525166e-03	-2.460354e-01	-1.791379e-04	5.039424e-03	-1.303713e-03	-3.078198e-03	-2.259221e-01	-1.119627e-01	2.681589e-04	-6.469993e-04	1.998152e-02	-1.220518e-02	1.063261e-03	1.026343e+02	1.536102e+02	
8.000000e+00	-5.153068e-02	7.569260e-03	-2.491146e-01	-1.270415e-04	5.076119e-03	-1.359779e-03	-3.036329e-03	-2.287957e-01	-1.112026e-01	2.486730e-04	-6.800804e-04	1.994538e-02	-1.193052e-02	9.771000e-04	1.016819e+02	1.540266e+02	
9.000000e+00	-4.834619e-02	9.984229e-03	-2.516412e-01	-6.705260e-05	5.108506e-03	-1.403992e-03	-2.987893e-03	-2.314799e-01	-1.098987e-01	2.271730e-04	-7.087383e-04	1.992103e-02	-1.165153e-02	8.858794e-04	1.008670e+02	1.545120e+02	
1.000000e+01	-4.563824e-02	1.291738e-02	-2.536654e-01	3.362570e-06	5.135293e-03	-1.434796e-03	-2.935029e-03	-2.339866e-01	-1.080706e-01	2.034742e-04	-7.337207e-04	1.989948e-02	-1.137336e-02	7.884714e-04	1.001864e+02	1.550544e+02	
1.100000e+01	-4.341303e-02	1.642513e-02	-2.552178e-01	8.484855e-05	5.154648e-03	-1.451429e-03	-2.879757e-03	-2.362809e-01	-1.057930e-01	1.778020e-04	-7.557032e-04	1.987110e-02	-1.110142e-02	6.854244e-04	9.963420e+01	1.556245e+02	
1.200000e+01	-4.162176e-02	2.048045e-02	-2.563659e-01	1.766030e-04	5.165932e-03	-1.454183e-03	-2.824904e-03	-2.383186e-01	-1.032477e-01	1.504734e-04	-7.756751e-04	1.982864e-02	-1.084296e-02	5.775689e-04	9.919293e+01	1.561702e+02	
1.300000e+01	-4.015783e-02	2.495298e-02	-2.571629e-01	2.760176e-04	5.169628e-03	-1.444703e-03	-2.772418e-03	-2.400481e-01	-1.006097e-01	1.219718e-04	-7.942984e-04	1.977118e-02	-1.060308e-02	4.664797e-04	9.883467e+01	1.566443e+02	
1.400000e+01	-3.889077e-02	2.967126e-02	-2.576197e-01	3.799296e-04	5.166726e-03	-1.425168e-03	-2.722755e-03	-2.414157e-01	-9.797363e-02	9.272476e-05	-8.117137e-04	1.970358e-02	-1.038337e-02	3.536106e-04	9.852915e+01	1.570215e+02	
1.500000e+01	-3.766694e-02	3.447044e-02	-2.577784e-01	4.856826e-04	5.159447e-03	-1.397775e-03	-2.677049e-03	-2.423906e-01	-9.547414e-02	6.279791e-05	-8.283014e-04	1.963361e-02	-1.018716e-02	2.389693e-04	9.824101e+01	1.572775e+02	
1.600000e+01	-3.632153e-02	3.918836e-02	-2.576973e-01	5.908957e-04	5.150543e-03	-1.364730e-03	-2.636707e-03	-2.429596e-01	-9.326200e-02	3.204817e-05	-8.445208e-04	1.957054e-02	-1.001871e-02	1.217735e-04	9.793281e+01	1.573947e+02	
1.700000e+01	-3.478894e-02	4.376772e-02	-2.573786e-01	6.945562e-04	5.139299e-03	-1.327190e-03	-2.600316e-03	-2.431438e-01	-9.129656e-02	4.284307e-07	-8.601938e-04	1.951279e-02	-9.872825e-03	1.626657e-06	9.759018e+01	1.573931e+02	
1.800000e+01	-3.307255e-02	4.826385e-02	-2.568243e-01	7.972864e-04	5.123408e-03	-1.285442e-03	-2.564946e-03	-2.430182e-01	-8.941299e-02	-3.220677e-05	-8.749336e-04	1.945072e-02	-9.737671e-03	-1.222712e-04	9.721302e+01	1.573099e+02	
1.900000e+01	-3.118186e-02	5.275177e-02	-2.560341e-01	8.999377e-04	5.100580e-03	-1.239500e-03	-2.527671e-03	-2.426542e-01	-8.743396e-02	-6.605088e-05	-8.882960e-04	1.937431e-02	-9.601240e-03	-2.508912e-04	9.680228e+01	1.571775e+02	
2.000000e+01	-2.915124e-02	5.728001e-02	-2.549507e-01	1.002548e-03	5.067538e-03	-1.189260e-03	-2.485156e-03	-2.420679e-01	-8.516325e-02	-1.009592e-04	-8.994954e-04	1.927355e-02	-9.451884e-03	-3.839817e-04	9.636562e+01	1.570236e+02	
2.100000e+01	-2.701979e-02	6.176328e-02	-2.535498e-01	1.102703e-03	5.024138e-03	-1.136834e-03	-2.437183e-03	-2.412198e-01	-8.264724e-02	-1.359104e-04	-9.086435e-04	1.914986e-02	-9.289495e-03	-5.180323e-04	9.591128e+01	1.568424e+02	
2.200000e+01	-2.481878e-02	6.606531e-02	-2.518533e-01	1.197416e-03	4.972578e-03	-1.085538e-03	-2.385496e-03	-2.400710e-01	-8.007483e-02	-1.696238e-04	-9.164653e-04	1.901164e-02	-9.120459e-03	-6.485222e-04	9.544500e+01	1.566156e+02	
2.300000e+01	-2.259210e-02	7.004812e-02	-2.498630e-01	1.283890e-03	4.914627e-03	-1.038588e-03	-2.331532e-03	-2.385744e-01	-7.761568e-02	-2.007543e-04	-9.234539e-04	1.886774e-02	-8.950981e-03	-7.707155e-04	9.497574e+01	1.563355e+02	
2.400000e+01	-2.037831e-02	7.360646e-02	-2.475949e-01	1.360259e-03	4.852090e-03	-9.987041e-04	-2.276554e-03	-2.367075e-01	-7.541928e-02	-2.282236e-04	-9.300331e-04	1.872621e-02	-8.786155e-03	-8.808086e-04	9.451090e+01	1.560009e+02	
2.500000e+01	-1.820763e-02	7.675965e-02	-2.450816e-01	1.427024e-03	4.785428e-03	-9.660988e-04	-2.220361e-03	-2.345054e-01	-7.351006e-02	-2.518048e-04	-9.361170e-04	1.858667e-02	-8.623910e-03	-9.780132e-04	9.405530e+01	1.556193e+02	
2.600000e+01	-1.612418e-02	7.955364e-02	-2.423394e-01	1.484949e-03	4.714053e-03	-9.401054e-04	-2.161895e-03	-2.320063e-01	-7.184305e-02	-2.713179e-04	-9.412015e-04	1.844509e-02	-8.459038e-03	-1.061610e-03	9.361726e+01	1.552020e+02	
2.700000e+01	-1.417809e-02	8.204451e-02	-2.393978e-01	1.534876e-03	4.637597e-03	-9.199667e-04	-2.100174e-03	-2.292619e-01	-7.036539e-02	-2.865392e-04	-9.447895e-04	1.829692e-02	-8.285911e-03	-1.130496e-03	9.320669e+01	1.547584e+02	
2.800000e+01	-1.239065e-02	8.430772e-02	-2.363239e-01	1.578248e-03	4.556931e-03	-9.044564e-04	-2.035377e-03	-2.263545e-01	-6.903732e-02	-2.977721e-04	-9.467035e-04	1.813938e-02	-8.102047e-03	-1.185315e-03	9.282714e+01	1.542938e+02	
2.900000e+01	-1.076307e-02	8.638139e-02	-2.331621e-01	1.616037e-03	4.473075e-03	-8.911796e-04	-1.969164e-03	-2.233595e-01	-6.775624e-02	-3.061539e-04	-9.465839e-04	1.797269e-02	-7.912045e-03	-1.230118e-03	9.247860e+01	1.538252e+02	
3.000000e+01	-9.306379e-03	8.827065e-02	-2.299529e-01	1.648316e-03	4.386590e-03	-8.781211e-04	-1.903166e-03	-2.203577e-01	-6.638872e-02	-3.128144e-04	-9.439248e-04	1.779632e-02	-7.721110e-03	-1.269082e-03	9.216380e+01	1.533787e+02	
3.100000e+01	-8.023801e-03	8.999896e-02	-2.267883e-01	1.675360e-03	4.298755e-03	-8.638539e-04	-1.839328e-03	-2.174756e-01	-6.482038e-02	-3.190731e-04	-9.386069e-04	1.760881e-02	-7.534362e-03	-1.307006e-03	9.188354e+01	1.529786e+02	
3.200000e+01	-6.955607e-03	9.155677e-02	-2.237731e-01	1.696493e-03	4.210835e-03	-8.483729e-04	-1.778811e-03	-2.148383e-01	-6.298650e-02	-3.252358e-04	-9.305002e-04	1.740885e-02	-7.354135e-03	-1.344622e-03	9.164789e+01	1.526487e+02	
3.300000e+01	-6.203543e-03	9.284182e-02	-2.210271e-01	1.709094e-03	4.124548e-03	-8.341138e-04	-1.721582e-03	-2.125503e-01	-6.094114e-02	-3.294458e-04	-9.192527e-04	1.719890e-02	-7.178800e-03	-1.373752e-03	9.148233e+01	1.524133e+02	
3.400000e+01	-5.860417e-03	9.376575e-02	-2.187049e-01	1.711113e-03	4.042579e-03	-8.235904e-04	-1.667933e-03	-2.107402e-01	-5.877692e-02	-3.297899e-04	-9.047536e-04	1.698350e-02	-7.007245e-03	-1.385498e-03	9.141083e+01	1.522950e+02	
3.500000e+01	-6.024500e-03	9.425838e-02	-2.169489e-01	1.700994e-03	3.967414e-03	-8.188648e-04	-1.618040e-03	-2.095278e-01	-5.657906e-02	-3.243639e-04	-8.868925e-04	1.676722e-02	-6.838214e-03	-1.370838e-03	9.145899e+01	1.523148e+02	
3.600000e+01	-6.809354e-03	9.428464e-02	-2.158395e-01	1.677828e-03	3.900285e-03	-8.217242e-04	-1.571319e-03	-2.089820e-01	-5.440183e-02	-3.112728e-04	-8.655884e-04	1.655241e-02	-6.668520e-03	-1.321010e-03	9.165601e+01	1.524861e+02	
3.700000e+01	-8.302098e-03	9.387606e-02	-2.154292e-01	1.642191e-03	3.842292e-03	-8.339299e-04	-1.527092e-03	-2.091439e-01	-5.232093e-02	-2.891010e-04	-8.413932e-04	1.634036e-02	-6.494360e-03	-1.229478e-03	9.202339e+01	1.528030e+02	
3.800000e+01	-1.058257e-02	9.306317e-02	-2.157297e-01	1.594678e-03	3.794060e-03	-8.568672e-04	-1.484509e-03	-2.100217e-01	-5.041992e-02	-2.564962e-04	-8.148989e-04	1.613223e-02	-6.312086e-03	-1.090614e-03	9.257903e+01	1.532535e+02	
3.900000e+01	-1.374796e-02	9.184440e-02	-2.166673e-01	1.535057e-03	3.754720e-03	-8.912889e-04	-1.441948e-03	-2.115609e-01	-4.874129e-02	-2.119331e-04	-7.862509e-04	1.592799e-02	-6.116922e-03	-8.990465e-04	9.334345e+01	1.538272e+02	
4.000000e+01	-1.775689e-02	9.035241e-02	-2.180961e-01	1.466424e-03	3.723336e-03	-9.343484e-04	-1.398717e-03	-2.136653e-01	-4.720540e-02	-1.569227e-04	-7.560365e-04	1.572768e-02	-5.908298e-03	-6.628545e-04	9.430163e+01	1.544940e+02	
4.100000e+01	-2.241049e-02	8.885069e-02	-2.198402e-01	1.395287e-03	3.699611e-03	-9.804738e-04	-1.355639e-03	-2.162130e-01	-4.564956e-02	-9.592922e-05	-7.254294e-04	1.553329e-02	-5.691823e-03	-4.027712e-04	9.539917e+01	1.552029e+02	
4.200000e+01	-2.748415e-02	8.759038e-02	-2.217072e-01	1.328063e-03	3.683020e-03	-1.024442e-03	-1.313873e-03	-2.190470e-01	-4.390777e-02	-3.347369e-05	-6.954181e-04	1.534838e-02	-5.475346e-03	-1.394961e-04	9.657688e+01	1.559012e+02	
4.300000e+01	-3.273644e-02	8.680902e-02	-2.235478e-01	1.271016e-03	3.673576e-03	-1.062019e-03	-1.275223e-03	-2.220219e-01	-4.185193e-02	2.613802e-05	-6.670306e-04	1.517785e-02	-5.268747e-03	1.079926e-04	9.777339e+01	1.565363e+02	
4.400000e+01	-3.803563e-02	8.660331e-02	-2.253138e-01	1.226319e-03	3.670135e-03	-1.092117e-03	-1.240828e-03	-2.250564e-01	-3.953020e-02	8.151610e-05	-6.410621e-04	1.501921e-02	-5.077813e-03	3.335865e-04	9.895467e+01	1.570717e+02	
4.500000e+01	-4.335977e-02	8.696546e-02	-2.269611e-01	1.193064e-03	3.669591e-03	-1.115054e-03	-1.210582e-03	-2.280752e-01	-3.705576e-02	1.333667e-04	-6.178205e-04	1.486330e-02	-4.903337e-03	5.401880e-04	1.001150e+02	1.574874e+02	
4.600000e+01	-4.871328e-02	8.788451e-02	-2.284336e-01	1.170179e-03	3.668484e-03	-1.131001e-03	-1.184119e-03	-2.310028e-01	-3.453403e-02	1.825943e-04	-5.975814e-04	1.470000e-02	-4.744887e-03	7.316745e-04	1.012564e+02	1.577670e+02	
4.700000e+01	-5.409757e-02	8.934201e-02	-2.297003e-01	1.156594e-03	3.664117e-03	-1.140339e-03	-1.161217e-03	-2.337933e-01	-3.208509e-02	2.300661e-04	-5.807533e-04	1.452109e-02	-4.601963e-03	9.117641e-04	1.023799e+02	1.579011e+02	
4.800000e+01	-5.950921e-02	9.119133e-02	-2.307299e-01	1.149283e-03	3.654698e-03	-1.144407e-03	-1.140619e-03	-2.364166e-01	-2.974544e-02	2.768534e-04	-5.665878e-04	1.432461e-02	-4.470661e-03	1.085128e-03	1.034883e+02	1.579165e+02	
4.900000e+01	-6.493456e-02	9.322272e-02	-2.314705e-01	1.144189e-03	3.638397e-03	-1.144772e-03	-1.120404e-03	-2.388265e-01	-2.751384e-02	3.241080e-04	-5.537314e-04	1.411063e-02	-4.345211e-03	1.256973e-03	1.045860e+02	1.578546e+02	
5.000000e+01	-7.032650e-02	9.523405e-02	-2.319050e-01	1.137551e-03	3.614189e-03	-1.143099e-03	-1.098961e-03	-2.409960e-01	-2.543017e-02	3.727519e-04	-5.410985e-04	1.388069e-02	-4.220681e-03	1.431595e-03	1.056701e+02	1.577548e+02	
5.100000e+01	-7.561908e-02	9.706903e-02	-2.319902e-01	1.126763e-03	3.581350e-03	-1.140455e-03	-1.074907e-03	-2.428652e-01	-2.354107e-02	4.233242e-04	-5.279021e-04	1.363791e-02	-4.093286e-03	1.612034e-03	1.067359e+02	1.576442e+02	
5.200000e+01	-8.073868e-02	9.878550e-02	-2.315525e-01	1.114212e-03	3.539736e-03	-1.135467e-03	-1.047898e-03	-2.442495e-01	-2.185141e-02	4.750487e-04	-5.144891e-04	1.338910e-02	-3.963687e-03	1.796878e-03	1.077820e+02	1.574997e+02	
5.300000e+01	-8.557732e-02	1.005063e-01	-2.304329e-01	1.104079e-03	3.490481e-03	-1.126458e-03	-1.018498e-03	-2.449643e-01	-2.037888e-02	5.264329e-04	-5.018064e-04	1.314364e-02	-3.835223e-03	1.982319e-03	1.087989e+02	1.572840e+02	
5.400000e+01	-9.001439e-02	1.023480e-01	-2.285134e-01	1.100620e-03	3.435495e-03	-1.112150e-03	-9.877238e-04	-2.448563e-01	-1.914109e-02	5.757800e-04	-4.908746e-04	1.291174e-02	-3.712196e-03	2.163973e-03	1.097736e+02	1.569630e+02	
5.500000e+01	-9.398686e-02	1.043626e-01	-2.256876e-01	1.106246e-03	3.375429e-03	-1.091669e-03	-9.565968e-04	-2.438031e-01	-1.812294e-02	6.219610e-04	-4.822873e-04	1.269820e-02	-3.598672e-03	2.339788e-03	1.107061e+02	1.565167e+02	
5.600000e+01	-9.754171e-02	1.064927e-01	-2.219150e-01	1.119801e-03	3.309038e-03	-1.065060e-03	-9.266285e-04	-2.417855e-01	-1.733208e-02	6.651247e-04	-4.764304e-04	1.249794e-02	-3.499794e-03	2.512117e-03	1.116174e+02	1.559518e+02	
5.700000e+01	-1.007733e-01	1.086763e-01	-2.171864e-01	1.139564e-03	3.235009e-03	-1.032725e-03	-8.992606e-04	-2.388386e-01	-1.677212e-02	7.058993e-04	-4.736580e-04	1.230337e-02	-3.420064e-03	2.684673e-03	1.125358e+02	1.552784e+02	
5.800000e+01	-1.038157e-01	1.108313e-01	-2.114553e-01	1.163101e-03	3.151153e-03	-9.950569e-04	-8.751684e-04	-2.349940e-01	-1.639686e-02	7.453497e-04	-4.738479e-04	1.210420e-02	-3.361694e-03	2.863035e-03	1.135017e+02	1.545097e+02	
5.900000e+01	-1.067060e-01	1.129055e-01	-2.046953e-01	1.189365e-03	3.056030e-03	-9.520102e-04	-8.538219e-04	-2.302763e-01	-1.609868e-02	7.835131e-04	-4.762873e-04	1.189252e-02	-3.322642e-03	3.049035e-03	1.145348e+02	1.536525e+02	
6.000000e+01	-1.093168e-01	1.149032e-01	-1.969676e-01	1.219792e-03	2.950074e-03	-9.030015e-04	-8.333257e-04	-2.247224e-01	-1.569235e-02	8.185010e-04	-4.795301e-04	1.166583e-02	-3.295319e-03	3.236695e-03	1.156127e+02	1.527037e+02	
6.100000e+01	-1.115351e-01	1.168257e-01	-1.883453e-01	1.255674e-03	2.833418e-03	-8.474097e-04	-8.114827e-04	-2.183809e-01	-1.495914e-02	8.483397e-04	-4.818630e-04	1.141967e-02	-3.270559e-03	3.419106e-03	1.167133e+02	1.516607e+02	
6.200000e+01	-1.132567e-01	1.186905e-01	-1.789155e-01	1.298519e-03	2.706062e-03	-7.845779e-04	-7.862414e-04	-2.113062e-01	-1.369372e-02	8.709751e-04	-4.817924e-04	1.114774e-02	-3.238956e-03	3.588021e-03	1.178117e+02	1.505152e+02	
