KneeAng	AnkAng	MPAng	DotMPAng	Yaw	  Pitch	FemTVAng	FemHZAng	FemHZAngP	TibPSAng	TibPSAngYaw	TibHZAng	TibHZAngP	
1.404680e+02	1.584301e+02	1.513963e+02	1.513963e+02	-3.224509e+01	1.002071e+02	1.339881e+02	-9.373489e+00	-6.797787e+01	-1.513451e+02	-4.213451e+02	-3.973150e+01	-2.858431e+01	
1.385865e+02	1.571162e+02	1.513506e+02	1.513506e+02	-3.191870e+01	1.000984e+02	1.348682e+02	-9.132536e+00	-6.853090e+01	-1.511717e+02	-4.211717e+02	-4.089526e+01	-2.727980e+01	
1.371022e+02	1.558394e+02	1.513832e+02	1.513832e+02	-3.179298e+01	1.001208e+02	1.352066e+02	-9.092790e+00	-6.865982e+01	-1.511971e+02	-4.211971e+02	-4.212491e+01	-2.592818e+01	
1.358812e+02	1.545962e+02	1.514808e+02	1.514808e+02	-3.182241e+01	1.002427e+02	1.351335e+02	-9.188349e+00	-6.847806e+01	-1.513616e+02	-4.213616e+02	-4.341890e+01	-2.451054e+01	
1.347917e+02	1.533551e+02	1.516464e+02	1.516464e+02	-3.195793e+01	1.004299e+02	1.347812e+02	-9.353131e+00	-6.809939e+01	-1.516077e+02	-4.216077e+02	-4.477097e+01	-2.301346e+01	
1.336812e+02	1.520702e+02	1.518978e+02	1.518978e+02	-3.214938e+01	1.006306e+02	1.343033e+02	-9.505444e+00	-6.767234e+01	-1.518669e+02	-4.218669e+02	-4.616415e+01	-2.144004e+01	
1.323923e+02	1.506957e+02	1.522558e+02	1.522558e+02	-3.234507e+01	1.007826e+02	1.338629e+02	-9.556381e+00	-6.736290e+01	-1.520659e+02	-4.220659e+02	-4.757205e+01	-1.980662e+01	
1.307830e+02	1.491923e+02	1.527337e+02	1.527337e+02	-3.249173e+01	1.008253e+02	1.336165e+02	-9.421888e+00	-6.732843e+01	-1.521350e+02	-4.221350e+02	-4.896113e+01	-1.813474e+01	
1.288243e+02	1.475405e+02	1.533082e+02	1.533082e+02	-3.252936e+01	1.007668e+02	1.336289e+02	-9.087255e+00	-6.757236e+01	-1.520580e+02	-4.220580e+02	-5.031725e+01	-1.640188e+01	
1.265787e+02	1.457355e+02	1.539248e+02	1.539248e+02	-3.239431e+01	1.006773e+02	1.338820e+02	-8.597056e+00	-6.796208e+01	-1.518663e+02	-4.218663e+02	-5.164670e+01	-1.454095e+01	
1.241086e+02	1.437722e+02	1.545252e+02	1.545252e+02	-3.202600e+01	1.006296e+02	1.343489e+02	-7.995819e+00	-6.836046e+01	-1.515951e+02	-4.215951e+02	-5.295282e+01	-1.248234e+01	
1.214890e+02	1.416623e+02	1.550539e+02	1.550539e+02	-3.142650e+01	1.006595e+02	1.349486e+02	-7.333212e+00	-6.866639e+01	-1.512816e+02	-4.212816e+02	-5.422353e+01	-1.020680e+01	
1.188172e+02	1.394429e+02	1.554633e+02	1.554633e+02	-3.069410e+01	1.007429e+02	1.355276e+02	-6.670316e+00	-6.883591e+01	-1.509628e+02	-4.209628e+02	-5.542910e+01	-7.774057e+00	
1.161881e+02	1.371540e+02	1.557063e+02	1.557063e+02	-2.992968e+01	1.008500e+02	1.359448e+02	-6.069670e+00	-6.883162e+01	-1.506726e+02	-4.206726e+02	-5.654441e+01	-5.246719e+00	
1.136869e+02	1.348485e+02	1.557540e+02	1.557540e+02	-2.919234e+01	1.009495e+02	1.361244e+02	-5.571428e+00	-6.863686e+01	-1.504415e+02	-4.204415e+02	-5.754596e+01	-2.698574e+00	
1.113820e+02	1.326220e+02	1.556308e+02	1.556308e+02	-2.842926e+01	1.010054e+02	1.361283e+02	-5.146191e+00	-6.828690e+01	-1.502956e+02	-4.202956e+02	-5.840551e+01	-2.495712e-01	
1.093369e+02	1.305794e+02	1.553724e+02	1.553724e+02	-2.757185e+01	1.009802e+02	1.360257e+02	-4.749461e+00	-6.781499e+01	-1.502520e+02	-4.202520e+02	-5.911585e+01	1.972071e+00	
1.075778e+02	1.287890e+02	1.550171e+02	1.550171e+02	-2.656567e+01	1.008393e+02	1.358676e+02	-4.335849e+00	-6.724077e+01	-1.503162e+02	-4.203162e+02	-5.969964e+01	3.873925e+00	
1.059246e+02	1.271091e+02	1.546190e+02	1.546190e+02	-2.540206e+01	1.005696e+02	1.357228e+02	-3.869779e+00	-6.660531e+01	-1.504742e+02	-4.204742e+02	-6.020740e+01	5.565005e+00	
1.041250e+02	1.253204e+02	1.542397e+02	1.542397e+02	-2.408065e+01	1.001653e+02	1.356937e+02	-3.323921e+00	-6.597612e+01	-1.507179e+02	-4.207179e+02	-6.066317e+01	7.224029e+00	
