StressDVtot	StressDVm	StressDVexternal	StressDVFax	StressAPtot	StressAPm	StressAPexternal	StressAPFax	
5.849557e+06	1.161741e+07	-5.941748e+06	1.738957e+05	-1.431573e+06	6.016801e+05	-2.030676e+06	-2.576573e+03	
5.848784e+06	1.168588e+07	-6.021380e+06	1.842814e+05	-1.426320e+06	5.987155e+05	-2.022305e+06	-2.730456e+03	
6.080550e+06	1.231403e+07	-6.414857e+06	1.813741e+05	-1.389045e+06	5.720908e+05	-1.958448e+06	-2.687380e+03	
6.443912e+06	1.328915e+07	-7.011695e+06	1.664561e+05	-1.324978e+06	5.269560e+05	-1.849468e+06	-2.466343e+03	
6.843503e+06	1.437396e+07	-7.672163e+06	1.417103e+05	-1.242696e+06	4.709607e+05	-1.711557e+06	-2.099690e+03	
7.244523e+06	1.542132e+07	-8.287392e+06	1.105964e+05	-1.148765e+06	4.112403e+05	-1.558367e+06	-1.638682e+03	
7.644240e+06	1.636765e+07	-8.800904e+06	7.749151e+04	-1.047842e+06	3.535310e+05	-1.400225e+06	-1.148174e+03	
8.027638e+06	1.718462e+07	-9.203586e+06	4.660759e+04	-9.445672e+05	3.018139e+05	-1.245691e+06	-6.905741e+02	
8.346320e+06	1.783751e+07	-9.511818e+06	2.063042e+04	-8.474188e+05	2.587747e+05	-1.105888e+06	-3.056763e+02	
8.557027e+06	1.830645e+07	-9.750979e+06	1.556364e+03	-7.659125e+05	2.261312e+05	-9.920207e+05	-2.306029e+01	
8.642865e+06	1.859798e+07	-9.945124e+06	-9.987235e+03	-7.043933e+05	2.033358e+05	-9.078770e+05	1.479786e+02	
8.628963e+06	1.873491e+07	-1.008944e+07	-1.651378e+04	-6.825478e+05	1.943023e+05	-8.770948e+05	2.446809e+02	
8.569312e+06	1.881817e+07	-1.022724e+07	-2.161377e+04	-6.427744e+05	1.810311e+05	-8.241257e+05	3.202463e+02	
8.478844e+06	1.883313e+07	-1.032618e+07	-2.809982e+04	-6.050445e+05	1.694097e+05	-7.748705e+05	4.163488e+02	
8.355959e+06	1.876459e+07	-1.037279e+07	-3.584159e+04	-5.760763e+05	1.613763e+05	-7.379837e+05	5.310567e+02	
8.204353e+06	1.860271e+07	-1.035414e+07	-4.421963e+04	-5.661153e+05	1.592856e+05	-7.260561e+05	6.551923e+02	
8.032392e+06	1.835554e+07	-1.027042e+07	-5.273301e+04	-5.772095e+05	1.629786e+05	-7.409694e+05	7.813331e+02	
7.835342e+06	1.803414e+07	-1.013773e+07	-6.106956e+04	-5.926270e+05	1.678811e+05	-7.614129e+05	9.048540e+02	
7.599825e+06	1.764619e+07	-9.977548e+06	-6.881360e+04	-5.940473e+05	1.696192e+05	-7.646860e+05	1.019596e+03	
