StressAxial	StressAP	StressDV	NetBendFemMag	NetBendFemAng	PeakTensStress	PeakCompStress	FemShear	
-1.092626e+06	-7.253413e+05	5.197478e+06	5.247847e+06	-8.205535e+01	4.155221e+06	-6.340473e+06	1.802034e+06	
-1.096033e+06	-6.856339e+05	5.274773e+06	5.319147e+06	-8.259404e+01	4.223114e+06	-6.415180e+06	1.685555e+06	
-1.098836e+06	-6.500124e+05	5.327619e+06	5.367126e+06	-8.304386e+01	4.268290e+06	-6.465962e+06	1.584690e+06	
-1.101392e+06	-6.191345e+05	5.360434e+06	5.396071e+06	-8.341152e+01	4.294679e+06	-6.497464e+06	1.496824e+06	
-1.103917e+06	-5.935879e+05	5.375248e+06	5.407924e+06	-8.369840e+01	4.304007e+06	-6.511841e+06	1.419694e+06	
-1.106367e+06	-5.743346e+05	5.369490e+06	5.400119e+06	-8.389474e+01	4.293752e+06	-6.506486e+06	1.351754e+06	
-1.108636e+06	-5.621798e+05	5.338771e+06	5.368288e+06	-8.398886e+01	4.259653e+06	-6.476924e+06	1.291055e+06	
-1.110922e+06	-5.566700e+05	5.283671e+06	5.312915e+06	-8.398573e+01	4.201993e+06	-6.423837e+06	1.233330e+06	
-1.114366e+06	-5.548209e+05	5.221462e+06	5.250856e+06	-8.393467e+01	4.136490e+06	-6.365222e+06	1.170837e+06	
-1.120181e+06	-5.534470e+05	5.173058e+06	5.202580e+06	-8.389339e+01	4.082399e+06	-6.322761e+06	1.096133e+06	
-1.128688e+06	-5.506455e+05	5.147562e+06	5.176930e+06	-8.389420e+01	4.048242e+06	-6.305618e+06	1.006336e+06	
-1.138251e+06	-5.465790e+05	5.124532e+06	5.153599e+06	-8.391192e+01	4.015348e+06	-6.291850e+06	9.049737e+05	
-1.146993e+06	-5.411655e+05	5.079435e+06	5.108181e+06	-8.391865e+01	3.961189e+06	-6.255174e+06	7.944879e+05	
-1.153451e+06	-5.342715e+05	4.996489e+06	5.024973e+06	-8.389662e+01	3.871522e+06	-6.178424e+06	6.748280e+05	
-1.156934e+06	-5.267474e+05	4.877708e+06	4.906068e+06	-8.383650e+01	3.749134e+06	-6.063002e+06	5.451411e+05	
-1.156883e+06	-5.197844e+05	4.727712e+06	4.756200e+06	-8.372589e+01	3.599317e+06	-5.913082e+06	4.051440e+05	
-1.152853e+06	-5.139519e+05	4.548196e+06	4.577142e+06	-8.355288e+01	3.424289e+06	-5.729996e+06	2.531162e+05	
-1.144554e+06	-5.090325e+05	4.335440e+06	4.365221e+06	-8.330348e+01	3.220667e+06	-5.509775e+06	8.585973e+04	
-1.131757e+06	-5.058433e+05	4.085760e+06	4.116955e+06	-8.294236e+01	2.985198e+06	-5.248711e+06	-9.581566e+04	
-1.114403e+06	-5.069552e+05	3.797634e+06	3.831322e+06	-8.239643e+01	2.716919e+06	-4.945724e+06	-2.835369e+05	
-1.092724e+06	-5.160520e+05	3.473158e+06	3.511287e+06	-8.154868e+01	2.418563e+06	-4.604011e+06	-4.634505e+05	
-1.067238e+06	-5.365204e+05	3.118799e+06	3.164611e+06	-8.023909e+01	2.097372e+06	-4.231849e+06	-6.225596e+05	
-1.038430e+06	-5.708387e+05	2.747477e+06	2.806151e+06	-7.826277e+01	1.767721e+06	-3.844581e+06	-7.476651e+05	
-1.006627e+06	-6.200173e+05	2.376018e+06	2.455582e+06	-7.537494e+01	1.448955e+06	-3.462208e+06	-8.257394e+05	
-9.721513e+05	-6.834413e+05	2.017900e+06	2.130496e+06	-7.128933e+01	1.158344e+06	-3.102647e+06	-8.485325e+05	
-9.356289e+05	-7.589000e+05	1.681068e+06	1.844430e+06	-6.570375e+01	9.088007e+05	-2.780058e+06	-8.174159e+05	
-8.979058e+05	-8.434742e+05	1.369360e+06	1.608290e+06	-5.836852e+01	7.103842e+05	-2.506196e+06	-7.411353e+05	
-8.595612e+05	-9.343232e+05	1.083879e+06	1.430998e+06	-4.923810e+01	5.714366e+05	-2.290559e+06	-6.294818e+05	
-8.205747e+05	-1.027040e+06	8.185275e+05	1.313316e+06	-3.855406e+01	4.927412e+05	-2.133891e+06	-5.015727e+05	
-7.808784e+05	-1.116762e+06	5.660240e+05	1.252014e+06	-2.687791e+01	4.711359e+05	-2.032893e+06	-3.817498e+05	
-7.409500e+05	-1.200240e+06	3.260761e+05	1.243745e+06	-1.519903e+01	5.027950e+05	-1.984695e+06	-2.885790e+05	
-7.018042e+05	-1.276352e+06	1.104208e+05	1.281120e+06	-4.944510e+00	5.793154e+05	-1.982924e+06	-2.192923e+05	
-6.642908e+05	-1.344468e+06	-6.905171e+04	1.346240e+06	2.940122e+00	6.819491e+05	-2.010531e+06	-1.593058e+05	
-6.287163e+05	-1.403602e+06	-2.100108e+05	1.419226e+06	8.509631e+00	7.905099e+05	-2.047943e+06	-9.825695e+04	
-5.947898e+05	-1.453486e+06	-3.193220e+05	1.488149e+06	1.239070e+01	8.933590e+05	-2.082939e+06	-3.547424e+04	
-5.621500e+05	-1.494727e+06	-4.052364e+05	1.548685e+06	1.516888e+01	9.865347e+05	-2.110835e+06	2.672617e+04	
-5.316831e+05	-1.533929e+06	-4.490929e+05	1.598319e+06	1.631861e+01	1.066636e+06	-2.130002e+06	9.219985e+04	
-5.016919e+05	-1.560701e+06	-5.014753e+05	1.639288e+06	1.781295e+01	1.137596e+06	-2.140980e+06	1.527095e+05	
-4.736538e+05	-1.583721e+06	-5.354414e+05	1.671786e+06	1.867993e+01	1.198132e+06	-2.145440e+06	2.110420e+05	
-4.480355e+05	-1.604290e+06	-5.465271e+05	1.694827e+06	1.881223e+01	1.246792e+06	-2.142863e+06	2.663242e+05	
-4.247105e+05	-1.622891e+06	-5.331213e+05	1.708214e+06	1.818541e+01	1.283503e+06	-2.132924e+06	3.212558e+05	
-4.029772e+05	-1.639939e+06	-5.002940e+05	1.714554e+06	1.696531e+01	1.311576e+06	-2.117531e+06	3.779285e+05	
-3.818476e+05	-1.656132e+06	-4.579980e+05	1.718294e+06	1.545862e+01	1.336446e+06	-2.100142e+06	4.360829e+05	
-3.603991e+05	-1.672483e+06	-4.153927e+05	1.723296e+06	1.394826e+01	1.362897e+06	-2.083695e+06	4.949865e+05	
-3.379304e+05	-1.690029e+06	-3.790110e+05	1.732007e+06	1.264019e+01	1.394077e+06	-2.069937e+06	5.554481e+05	
-3.140808e+05	-1.709247e+06	-3.527133e+05	1.745260e+06	1.165967e+01	1.431179e+06	-2.059341e+06	6.186318e+05	
-2.893161e+05	-1.727974e+06	-3.351137e+05	1.760169e+06	1.097539e+01	1.470853e+06	-2.049485e+06	6.798910e+05	
-2.640849e+05	-1.743440e+06	-3.243926e+05	1.773362e+06	1.054020e+01	1.509277e+06	-2.037447e+06	7.320081e+05	
-2.383893e+05	-1.753537e+06	-3.207792e+05	1.782636e+06	1.036665e+01	1.544247e+06	-2.021025e+06	7.692835e+05	
-2.117960e+05	-1.758296e+06	-3.282933e+05	1.788681e+06	1.057598e+01	1.576886e+06	-2.000477e+06	7.954528e+05	
-1.841308e+05	-1.758467e+06	-3.518302e+05	1.793318e+06	1.131422e+01	1.609187e+06	-1.977449e+06	8.173190e+05	
-1.556069e+05	-1.755125e+06	-3.949841e+05	1.799021e+06	1.268290e+01	1.643414e+06	-1.954628e+06	8.404057e+05	
-1.265608e+05	-1.749871e+06	-4.569268e+05	1.808544e+06	1.463433e+01	1.681983e+06	-1.935104e+06	8.646205e+05	
-9.755031e+04	-1.744585e+06	-5.322142e+05	1.823959e+06	1.696519e+01	1.726409e+06	-1.921510e+06	8.885710e+05	
-8.211258e+04	-1.740692e+06	-4.389443e+05	1.795183e+06	1.415302e+01	1.713070e+06	-1.877296e+06	9.106466e+05	
-8.354114e+04	-1.736866e+06	-1.204197e+05	1.741035e+06	3.966064e+00	1.657494e+06	-1.824576e+06	9.279283e+05	
-8.515317e+04	-1.729123e+06	2.180034e+05	1.742812e+06	-7.185791e+00	1.657659e+06	-1.827965e+06	9.306963e+05	
-8.692051e+04	-1.714834e+06	5.923594e+05	1.814261e+06	-1.905659e+01	1.727341e+06	-1.901182e+06	9.261933e+05	
-8.861995e+04	-1.692508e+06	9.900478e+05	1.960811e+06	-3.032589e+01	1.872191e+06	-2.049431e+06	9.083508e+05	
-8.989988e+04	-1.663611e+06	1.389857e+06	2.167788e+06	-3.987694e+01	2.077888e+06	-2.257688e+06	8.784271e+05	
-9.056995e+04	-1.630265e+06	1.775383e+06	2.410342e+06	-4.743996e+01	2.319772e+06	-2.500912e+06	8.385010e+05	
-9.069800e+04	-1.591795e+06	2.147378e+06	2.673021e+06	-5.345145e+01	2.582323e+06	-2.763719e+06	7.899091e+05	
-9.036440e+04	-1.546821e+06	2.507836e+06	2.946506e+06	-5.833393e+01	2.856142e+06	-3.036870e+06	7.341313e+05	
-8.964707e+04	-1.493866e+06	2.856309e+06	3.223373e+06	-6.239019e+01	3.133726e+06	-3.313020e+06	6.732637e+05	
-9.075444e+04	-1.415579e+06	3.190175e+06	3.490140e+06	-6.607168e+01	3.399386e+06	-3.580895e+06	3.980602e+05	
-8.969715e+04	-1.341416e+06	3.505809e+06	3.753677e+06	-6.906184e+01	3.663980e+06	-3.843374e+06	3.373513e+05	
-8.851486e+04	-1.257301e+06	3.794596e+06	3.997470e+06	-7.166793e+01	3.908955e+06	-4.085985e+06	2.763683e+05	
-8.712796e+04	-1.168071e+06	4.043573e+06	4.208903e+06	-7.388756e+01	4.121775e+06	-4.296031e+06	2.151884e+05	
-8.547453e+04	-1.078842e+06	4.244874e+06	4.379824e+06	-7.574012e+01	4.294349e+06	-4.465298e+06	1.537167e+05	
-8.354866e+04	-9.925922e+05	4.398817e+06	4.509415e+06	-7.728421e+01	4.425867e+06	-4.592964e+06	9.211730e+04	
-8.139178e+04	-9.097238e+05	4.511178e+06	4.601991e+06	-7.859867e+01	4.520599e+06	-4.683383e+06	3.120552e+04	
-7.903397e+04	-8.306269e+05	4.586974e+06	4.661574e+06	-7.973592e+01	4.582540e+06	-4.740608e+06	-2.799385e+04	
-7.650703e+04	-7.543168e+05	4.631265e+06	4.692293e+06	-8.074922e+01	4.615786e+06	-4.768800e+06	-8.401033e+04	
-7.385093e+04	-6.776914e+05	4.649037e+06	4.698171e+06	-8.170642e+01	4.624320e+06	-4.772022e+06	-1.349642e+05	
-7.110533e+04	-5.977496e+05	4.643150e+06	4.681468e+06	-8.266424e+01	4.610363e+06	-4.752573e+06	-1.790359e+05	
