pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
214.562123,313.271864,163.387710,300.307679,150.082363,323.300933,167.822826,298.601866,189.316079,310.201399,148.535386,344.953023,121.765854,342.111861
214.562123,311.771864,163.387710,300.307679,150.923525,323.642096,167.822826,298.943028,189.157242,309.019074,149.376549,345.453023,122.448180,342.453023
214.562123,311.271864,163.728873,300.307679,151.629339,323.483258,167.822826,298.943028,189.157242,308.154423,150.558874,345.453023,123.312831,342.794186
214.562123,310.771864,164.070036,300.307679,153.152828,323.483258,167.822826,298.943028,189.157242,307.130935,151.764688,345.794186,124.995156,343.135349
214.562123,309.771864,164.070036,300.307679,155.176316,323.483258,167.481663,298.943028,189.657242,306.448609,153.493990,345.635349,126.518645,343.135349
214.062123,309.271864,164.070036,300.307679,157.405618,323.483258,167.481663,298.943028,189.657242,306.107446,155.699804,346.135349,128.930272,343.635349
214.062123,309.271864,164.070036,300.807679,160.293757,323.983258,166.799338,299.443028,189.657242,305.425121,157.952594,346.135349,130.977249,343.635349
213.562123,308.271864,164.411198,301.307679,163.364222,323.983258,166.458175,299.943028,189.657242,305.083958,160.864222,345.976512,134.206551,343.635349
213.562123,307.271864,164.411198,301.648842,166.458175,324.142096,166.117012,299.943028,189.657242,304.742795,164.252361,346.158837,137.777015,343.317674
213.062123,306.271864,164.934687,302.672331,170.369802,324.142096,166.117012,300.443028,189.657242,304.742795,168.346314,346.000000,140.847480,343.476512
213.062123,306.271864,166.117012,303.513493,174.122593,324.642096,165.775849,300.943028,189.657242,304.401633,172.463755,345.682326,143.917945,343.476512
213.062123,305.771864,166.799338,303.854656,177.693057,324.642096,166.275849,301.443028,189.657242,304.401633,176.716546,346.182326,147.853061,343.317674
