Pct	FAxFem(N)	FAP(N)	FDV(N)	HipTorqAP(Nm)	HipTorqDV(Nm)	FemTorsion(Nm)	TKFlex(Nm)	FAxTib(N)	FMLTib(N)	TAnkFlex(Nm)	TibTorsion(Nm)	Rhip(m)	Rknee(m)	Rankle(m)	Fem-GRFang(deg)	Tib-GRFang(deg)	
0.000000e+00	-3.177865e-02	-2.296624e-02	8.661380e-03	-3.491017e-04	-4.589711e-04	-2.365468e-04	3.443665e-04	-2.731485e-03	3.282440e-02	3.034242e-05	-3.842268e-05	-1.143025e-02	8.576126e-03	7.556496e-04	1.423182e+02	9.390060e+01	
1.000000e+00	-3.211417e-02	-2.362734e-02	8.982168e-03	-3.646290e-04	-4.665859e-04	-2.412962e-04	3.475240e-04	-2.991665e-03	3.321218e-02	3.560609e-05	-3.748428e-05	-1.141671e-02	8.503428e-03	8.712312e-04	1.417937e+02	9.419795e+01	
2.000000e+00	-3.287805e-02	-2.420602e-02	9.671601e-03	-3.770476e-04	-4.841706e-04	-2.455496e-04	3.559363e-04	-3.298243e-03	3.411199e-02	3.910273e-05	-3.959616e-05	-1.153953e-02	8.483244e-03	9.319588e-04	1.415917e+02	9.450865e+01	
3.000000e+00	-3.401859e-02	-2.469387e-02	1.067820e-02	-3.865466e-04	-5.105309e-04	-2.492567e-04	3.690714e-04	-3.672194e-03	3.546553e-02	4.110510e-05	-4.419174e-05	-1.177115e-02	8.509561e-03	9.477473e-04	1.416612e+02	9.485700e+01	
4.000000e+00	-3.548577e-02	-2.511320e-02	1.190192e-02	-3.938741e-04	-5.437546e-04	-2.527087e-04	3.863213e-04	-4.149139e-03	3.719785e-02	4.201143e-05	-5.047280e-05	-1.206389e-02	8.571028e-03	9.320768e-04	1.419337e+02	9.528181e+01	
5.000000e+00	-3.722975e-02	-2.550328e-02	1.321440e-02	-4.002350e-04	-5.814964e-04	-2.562790e-04	4.069932e-04	-4.757768e-03	3.921783e-02	4.243078e-05	-5.738282e-05	-1.236641e-02	8.655332e-03	9.023555e-04	1.423492e+02	9.580723e+01	
6.000000e+00	-3.920352e-02	-2.584830e-02	1.456227e-02	-4.053847e-04	-6.224658e-04	-2.598329e-04	4.304698e-04	-5.545950e-03	4.145140e-02	4.226818e-05	-6.494825e-05	-1.266098e-02	8.755773e-03	8.597363e-04	1.428827e+02	9.647706e+01	
7.000000e+00	-4.137326e-02	-2.607215e-02	1.598023e-02	-4.070972e-04	-6.667150e-04	-2.629037e-04	4.563562e-04	-6.626127e-03	4.385441e-02	4.026843e-05	-7.480888e-05	-1.295907e-02	8.870285e-03	7.827053e-04	1.435312e+02	9.739990e+01	
8.000000e+00	-4.371815e-02	-2.613990e-02	1.743576e-02	-4.043906e-04	-7.133766e-04	-2.652614e-04	4.842366e-04	-8.114514e-03	4.636202e-02	3.593352e-05	-8.747491e-05	-1.325032e-02	8.994255e-03	6.674326e-04	1.442943e+02	9.866867e+01	
9.000000e+00	-4.622770e-02	-2.612217e-02	1.873689e-02	-4.005826e-04	-7.592883e-04	-2.666926e-04	5.135091e-04	-1.001870e-02	4.886407e-02	3.180318e-05	-9.955998e-05	-1.348488e-02	9.119866e-03	5.648211e-04	1.451850e+02	1.002493e+02	
