KneeAng	AnkAng	MPAng	DotMPAng	Yaw	  Pitch	FemTVAng	FemHZAng	FemHZAngP	TibPSAng	TibPSAngYaw	TibHZAng	TibHZAngP	
1.124930e+02	1.232266e+02	1.321157e+02	1.321157e+02	-7.379568e+00	1.563172e+02	8.326740e+01	-4.833833e+01	4.281486e+01	2.679024e-01	-6.105423e+00	-3.021089e+01	6.528428e+00	
1.114113e+02	1.244783e+02	1.319525e+02	1.319525e+02	-7.366583e+00	1.563468e+02	8.318081e+01	-4.829469e+01	4.284558e+01	1.495205e+00	-4.877459e+00	-3.007680e+01	6.432702e+00	
1.105660e+02	1.254676e+02	1.318028e+02	1.318028e+02	-7.358052e+00	1.563559e+02	8.305638e+01	-4.827929e+01	4.290936e+01	2.452257e+00	-3.916988e+00	-3.002710e+01	6.407419e+00	
1.099037e+02	1.262615e+02	1.316629e+02	1.316629e+02	-7.360917e+00	1.563464e+02	8.288928e+01	-4.827683e+01	4.299335e+01	3.209495e+00	-3.159899e+00	-3.006601e+01	6.454307e+00	
1.093295e+02	1.269803e+02	1.315307e+02	1.315307e+02	-7.377797e+00	1.563204e+02	8.267858e+01	-4.827099e+01	4.308421e+01	3.888488e+00	-2.487329e+00	-3.018992e+01	6.572053e+00	
1.087214e+02	1.277796e+02	1.314051e+02	1.314051e+02	-7.408281e+00	1.562802e+02	8.242611e+01	-4.824470e+01	4.316803e+01	4.644080e+00	-1.744581e+00	-3.038828e+01	6.756890e+00	
1.080609e+02	1.286706e+02	1.312794e+02	1.312794e+02	-7.463885e+00	1.562274e+02	8.212296e+01	-4.818400e+01	4.323258e+01	5.493007e+00	-9.247586e-01	-3.065616e+01	7.007908e+00	
1.075354e+02	1.293842e+02	1.311341e+02	1.311341e+02	-7.580061e+00	1.561626e+02	8.173853e+01	-4.808143e+01	4.326925e+01	6.184820e+00	-3.073748e-01	-3.101194e+01	7.333203e+00	
1.073325e+02	1.296599e+02	1.309546e+02	1.309546e+02	-7.786286e+00	1.560858e+02	8.124851e+01	-4.793326e+01	4.327215e+01	6.475620e+00	-1.592908e-01	-3.148281e+01	7.744106e+00	
1.075222e+02	1.294345e+02	1.307625e+02	1.307625e+02	-8.058324e+00	1.559959e+02	8.068162e+01	-4.775368e+01	4.325033e+01	6.297115e+00	-5.250778e-01	-3.208885e+01	8.252628e+00	
1.081274e+02	1.287224e+02	1.305928e+02	1.305928e+02	-8.351742e+00	1.558914e+02	8.008627e+01	-4.756313e+01	4.321834e+01	5.649417e+00	-1.363569e+00	-3.284199e+01	8.870396e+00	
1.090323e+02	1.277082e+02	1.304701e+02	1.304701e+02	-8.625619e+00	1.557720e+02	7.950516e+01	-4.736645e+01	4.317947e+01	4.701102e+00	-2.469629e+00	-3.373212e+01	9.600600e+00	
1.099727e+02	1.267578e+02	1.304086e+02	1.304086e+02	-8.842866e+00	1.556390e+02	7.897529e+01	-4.715202e+01	4.312465e+01	3.800302e+00	-3.464226e+00	-3.473662e+01	1.043994e+01	
1.107449e+02	1.261476e+02	1.304024e+02	1.304024e+02	-8.982952e+00	1.554945e+02	7.851591e+01	-4.691321e+01	4.304991e+01	3.213864e+00	-4.064706e+00	-3.584913e+01	1.139069e+01	
1.113455e+02	1.258654e+02	1.303886e+02	1.303886e+02	-9.074102e+00	1.553427e+02	7.809303e+01	-4.666011e+01	4.296876e+01	2.943722e+00	-4.292633e+00	-3.707862e+01	1.246186e+01	
1.118131e+02	1.258390e+02	1.303013e+02	1.303013e+02	-9.151182e+00	1.551883e+02	7.766499e+01	-4.640557e+01	4.289783e+01	2.937689e+00	-4.227223e+00	-3.843598e+01	1.366581e+01	
1.122353e+02	1.259262e+02	1.301432e+02	1.301432e+02	-9.225806e+00	1.550349e+02	7.721241e+01	-4.615992e+01	4.285184e+01	3.073363e+00	-3.998259e+00	-3.992689e+01	1.500873e+01	
1.127330e+02	1.259421e+02	1.299558e+02	1.299558e+02	-9.296721e+00	1.548856e+02	7.672812e+01	-4.593167e+01	4.284428e+01	3.184749e+00	-3.768705e+00	-4.155525e+01	1.649322e+01	
1.134092e+02	1.257337e+02	1.297682e+02	1.297682e+02	-9.379706e+00	1.547423e+02	7.619134e+01	-4.572249e+01	4.288037e+01	3.126666e+00	-3.694173e+00	-4.331592e+01	1.811088e+01	
1.143297e+02	1.252023e+02	1.295899e+02	1.295899e+02	-9.517109e+00	1.546045e+02	7.556040e+01	-4.552398e+01	4.295268e+01	2.789700e+00	-3.914102e+00	-4.518356e+01	1.983202e+01	
1.155656e+02	1.242546e+02	1.294278e+02	1.294278e+02	-9.737666e+00	1.544717e+02	7.480823e+01	-4.533227e+01	4.305703e+01	2.061641e+00	-4.557889e+00	-4.712389e+01	2.162089e+01	
1.172005e+02	1.228183e+02	1.292837e+02	1.292837e+02	-9.997329e+00	1.543438e+02	7.398304e+01	-4.516850e+01	4.320964e+01	8.382357e-01	-5.695998e+00	-4.909063e+01	2.343888e+01	
1.193161e+02	1.208271e+02	1.291581e+02	1.291581e+02	-1.023251e+01	1.542209e+02	7.315232e+01	-4.505837e+01	4.343126e+01	-1.790166e+02	-4.490166e+02	-5.100565e+01	2.523301e+01	
1.219077e+02	1.182736e+02	1.290556e+02	1.290556e+02	-1.040089e+01	1.541028e+02	7.236786e+01	-4.498620e+01	4.370319e+01	-1.765774e+02	-4.465774e+02	-5.276066e+01	2.694627e+01	
1.248848e+02	1.152132e+02	1.289841e+02	1.289841e+02	-1.047792e+01	1.539890e+02	7.167062e+01	-4.490230e+01	4.397208e+01	-1.735863e+02	-4.435863e+02	-5.422167e+01	2.851826e+01	
1.280343e+02	1.118723e+02	1.289670e+02	1.289670e+02	-1.047904e+01	1.538791e+02	7.106265e+01	-4.476332e+01	4.418834e+01	-1.702755e+02	-4.402755e+02	-5.528174e+01	2.990368e+01	
1.309192e+02	1.088389e+02	1.290638e+02	1.290638e+02	-1.050981e+01	1.537717e+02	7.045462e+01	-4.454241e+01	4.431680e+01	-1.672262e+02	-4.372262e+02	-5.604567e+01	3.115811e+01	
1.331835e+02	1.066482e+02	1.293294e+02	1.293294e+02	-1.066931e+01	1.536661e+02	6.976244e+01	-4.422332e+01	4.433200e+01	-1.649678e+02	-4.349678e+02	-5.680984e+01	3.242275e+01	
1.350690e+02	1.050560e+02	1.297469e+02	1.297469e+02	-1.092387e+01	1.535648e+02	6.901926e+01	-4.384200e+01	4.426571e+01	-1.632537e+02	-4.332537e+02	-5.763877e+01	3.374879e+01	
1.370641e+02	1.034705e+02	1.302694e+02	1.302694e+02	-1.118417e+01	1.534719e+02	6.830533e+01	-4.345532e+01	4.417478e+01	-1.614883e+02	-4.314883e+02	-5.832446e+01	3.507357e+01	
1.394352e+02	1.015712e+02	1.308600e+02	1.308600e+02	-1.141075e+01	1.533916e+02	6.765052e+01	-4.309768e+01	4.409682e+01	-1.593469e+02	-4.293469e+02	-5.865553e+01	3.632415e+01	
