"PercentStance"	"InterpV.N"	"InterpML.N"	"InterpHz.N"	"SquaredV.N"	"SquaredML.N"	"SquaredHz.N"	"NetGRF.N"	"APAngle"	"APAngle.Convert"	"MLAngle"	"MLAngle.Convert"	"InterpV.BW"	"InterpML.BW"	"InterpHz.BW"	"NetGRF.BW"
0	0.00202984567333424	0.000959166100070992	-0.0012764469022738	4.12027345755373e-06	9.19999607525396e-07	1.62931669432438e-06	0.00258255488991106	122.163298526984	-32.1632985269843	64.7077883761575	25.2922116238425	0.00828508438095608	0.00391496367375915	-0.00520998735621959	0.0105410403669839
1	0.00279242993071094	0.000820899016973895	-0.00102155017963275	7.79766491793031e-06	6.73875196068707e-07	1.0435647695077e-06	0.0030846563639256	110.093954922315	-20.0939549223155	73.6180875399465	16.3819124600535	0.0113976731865753	0.00335060823254651	-0.00416959256992959	0.0125904341384718
2	0.00369562176853628	0.000622610252462426	-0.000601699664209542	1.36576202560792e-05	3.87643526471326e-07	3.62042485909876e-07	0.0037956957555184	99.2474239935122	-9.24742399351219	80.4370429520736	9.56295704792637	0.0150841704838215	0.00254126633658133	-0.00245591699677364	0.0154926357368098
3	0.00474132663877265	0.000351715028845772	-8.07256928783325e-06	2.24801782955352e-05	1.23703461515982e-07	6.51663749068686e-11	0.00475436083227031	90.0975515374349	-0.0975515374348674	85.7575281712425	4.24247182875749	0.0193523536276435	0.00143557154630927	-3.29492623993194e-05	0.0194055544174298
4	0.00592877735340253	1.61582821574518e-05	0.000775058722224446	3.51504009062187e-05	2.61090082279825e-10	6.00716022896191e-07	0.00597924560619458	82.552059166381	7.44794083361896	89.8438465429874	0.156153457012593	0.0241990912383777	6.59521720712318e-05	0.00316350498867121	0.0244050841069166
5	0.00722939973201199	-0.000406046018463917	0.00176195952572233	5.2264220485215e-05	1.648733691104e-07	3.10450137028366e-06	0.00745208663560812	76.302829000951	13.697170999049	93.214693678308	-3.21469367830801	0.0295077540082122	-0.00165733068760782	0.00719167153356053	0.0304166801453392
6	0.00862683322667183	-0.000934701064672499	0.00294486899101854	7.44222515208091e-05	8.73666080299903e-07	8.67225337426255e-06	0.0091634148097405	71.1520693784907	18.8479306215093	96.1837669138627	-6.18376691386267	0.0352115641904973	-0.00381510638641836	0.0120198734327287	0.0374016931009816
7	0.0101314204489972	-0.00156510462636614	0.00430901138533691	0.000102645680314359	2.44955249147269e-06	1.85675791189631e-05	0.0111203782275961	66.9593841645895	23.0406158354105	98.781651335835	-8.78165133583499	0.0413527365265192	-0.00638818214843322	0.0175878015728037	0.0453892988881475
8	0.0117336085034902	-0.00231057388608908	0.00584476539028495	0.000137677568513178	5.33875168307679e-06	3.41612824674728e-05	0.0133108077389664	63.5211069529347	26.4788930470653	101.140109733453	-11.1401097334534	0.0478922796060824	-0.00943091382077175	0.0238561852664692	0.0543298275059852
9	0.0134230054278759	-0.00318195870328481	0.00753265958961862	0.000180177074716786	1.012486118941e-05	5.67409604930734e-05	0.0157175983025165	60.6999342561356	29.3000657438644	103.335952076687	-13.3359520766872	0.0547877772566363	-0.0129875865440196	0.0307455493453821	0.064153462459251
